rank,reward,equations,equations_with_constants
3601,0.8396807991891566,B0 - i ; B1 + sqrt(Abs(r)),0.0969639929734259 - i ; sqrt(Abs(r)) - 0.253079904024193
3602,0.8396547063956199,B0*i*s + B1*i**2*s ; B2*i*r**2 + i**2 + i*r,0.163697284432532*i**2*s + 0.387802263111314*i*s ; i**2 - 7.78359218886993*i*r**2 + i*r
3603,0.8396338120508267,B0 + B1*s + B2*Abs(i)**(1/4)*Abs(s)**(1/4) ; r*sqrt(Abs(B3 + r)),0.00338212677909069*s + 0.172650184722012*Abs(i)**(1/4)*Abs(s)**(1/4) - 0.0640218802527357 ; r*sqrt(Abs(r + 0.000399382920276326))
3604,0.8395747539381112,B0*sqrt(Abs(-i*s + s**2 + s)) ; B1 + i + r,0.00360289477483645*sqrt(Abs(-i*s + s**2 + s)) ; i + r + 19.3479333704152
3605,0.8395644234156618,s*Abs(B0 + 2*s)**(1/4) ; B1 + sqrt(Abs(B2 + i**2 + Abs(i)**(3/2))),s*Abs(2*s - 53.7887470437894)**(1/4) ; sqrt(Abs(i**2 + Abs(i)**(3/2) + 0.00040624929972326)) + 20.2579204632454
3606,0.8395195095888845,B0*sqrt(Abs(i + Abs(i)**(1/4))) + i ; i,i - 0.000473974870935419*sqrt(Abs(i + Abs(i)**(1/4))) ; i
3607,0.8394645878121316,B0*i + B0*s**2 + B1*s ; B2 + i - sqrt(Abs(i)),0.0141660378299076*i + 0.0141660378299076*s**2 + 2.74870138020838*s ; i - sqrt(Abs(i)) + 4.62480035573238
3608,0.8394327450154093,B0 + B1*i + B2*s ; B3*i + 2*i**2 + i*r,1.63084112929326*i - 0.0137194789266703*s + 0.000995589862454938 ; 2*i**2 + i*r + 0.951720847352567*i
3609,0.8394139075576971,B0*i + B1*i**2 + B2*i*s ; B3*i**2*r,87.9508593131007*i**2 + 88.2748824486402*i*s - 87.9775170780952*i ; 8.62477559466458*i**2*r
3610,0.839413907557697,B0*i + B1*i**2 + B2*i*s ; B3*i*sqrt(Abs(r)),3.72143426891727*i**2 + 4.04545738629969*i*s - 3.74809200539428*i ; 0.000639055972934855*i*sqrt(Abs(r))
3611,0.8394139075576968,B0*i + B1*i**2 + B2*i*s ; sqrt(Abs(i))*Abs(r)**(5/4),1.31975713649789*i**2 + 1.64378024867257*i*s - 1.3464148695105*i ; sqrt(Abs(i))*Abs(r)**(5/4)
3612,0.8394139075576968,B0*i + B1*i**2 + B2*i*s ; 2*r,6.56721502049905*i**2 + 6.89123815305795*i*s - 6.59387276668496*i ; 2*r
3613,0.8394139075576967,B0*i + B1*i**2 + B2*i*s ; -Abs(r)**(1/8),5.28978755752609*i**2 + 5.6138106846687*i*s - 5.3164453003478*i ; -Abs(r)**(1/8)
3614,0.8394139073906882,B0*i**2 + B1*i*s ; B2*r + i*r + 2*r**2,-0.0266572391325481*i**2 + 0.297358007056527*i*s ; i*r + 2*r**2 + 0.00741182000168098*r
3615,0.8394121650444949,B0*i**2 + B2*i*sqrt(Abs(B1 + i)) ; B5*sqrt(Abs(B3*i*sqrt(Abs(r)) + B4*i*r)),-0.332836824338887*i**2 + 0.0731224091496908*i*sqrt(Abs(i + 16.5069120440855)) ; 0.0241979043799715*sqrt(Abs(0.208580543164719*i*r + 5.7617714253074*i*sqrt(Abs(r))))
3616,0.8393670921961705,B0*sqrt(Abs(i*s - i + s)) ; B1*i*r + 2*r,0.020382268295125*sqrt(Abs(i*s - i + s)) ; 0.000211526478205415*i*r + 2*r
3617,0.8393090197010287,B0*i + B1*i*s - i*s**2 ; i,-i*s**2 + 1.4321984660345*i*s + 0.597298813223878*i ; i
3618,0.8392521734387137,B0 + B1*i + B2*s + B3*i*s ; Abs(i)**(17/8),0.329767596006459*i*s + 0.083437886467545*i - 0.00092084942530037*s - 0.00303901784356575 ; Abs(i)**(17/8)
3619,0.8391987406375069,B1*sqrt(Abs(B0 + 2*i - s)) ; sqrt(Abs(B2 + 2*i)),0.00320559955497649*sqrt(Abs(2*i - s + 196.702395210108)) ; sqrt(Abs(2*i + 1.70123194408046))
3620,0.8391942308909283,B0*i ; B1 - r*sqrt(Abs(i)) + r,-0.00723117180175259*i ; -r*sqrt(Abs(i)) + r + 1.13265301907731
3621,0.8391905898816933,sqrt(Abs(B0*Abs(i)**(1/4) + B1*s)) ; B2*i*r + B2*Abs(i)**(3/2),sqrt(Abs(0.00182044824517029*s + 1.86597960598799e-5*Abs(i)**(1/4))) ; 27.4122897976401*i*r + 27.4122897976401*Abs(i)**(3/2)
3622,0.8391900121962781,i*Abs(B0*i + i*s)**(1/4) ; B1*i + i*r + i*sqrt(Abs(r)),i*Abs(i*s - 0.891021345150075*i)**(1/4) ; i*r + i*sqrt(Abs(r)) - 0.00709670142657227*i
3623,0.8391795329658146,B0 + B1*sqrt(Abs(i - s)) ; -i + sqrt(Abs(B2 + r)),0.0189950394090676 - 0.000626217612146338*sqrt(Abs(i - s)) ; -i + sqrt(Abs(r - 0.000364066909450725))
3624,0.8391792203729183,B2*sqrt(Abs(B0 + B1*s + s**2)) ; Abs(i)**(1/4),0.0300608259751401*sqrt(Abs(s**2 + 1.2747930385855*s + 0.172348760646023)) ; Abs(i)**(1/4)
3625,0.8391298223986707,B0*i + B0*s**2 ; B1 + i - sqrt(Abs(i**2 - r)),0.0558864977101033*i + 0.0558864977101033*s**2 ; i - sqrt(Abs(i**2 - r)) + 0.785753630962131
3626,0.8391226254059465,B2*sqrt(Abs(B0*s + B1*i*s)) ; B3 - i,0.0393238528410062*sqrt(Abs(0.00842200121475269*i*s - 0.0931156576419924*s)) ; 0.259972156293586 - i
3627,0.8390946737977785,B0 + B1*i ; B2 + B3*r - i*r + r**2,0.046770695174192 - 0.0389903802004661*i ; -i*r + r**2 + 0.0178961718012448*r + 0.0214403250161092
3628,0.8390195521048981,B0*i + B0*s**2 ; B1 - sqrt(Abs(r)),0.0399703153185324*i + 0.0399703153185324*s**2 ; 0.753980148764429 - sqrt(Abs(r))
3629,0.8390189693303146,B2*sqrt(Abs(B0 + B1*i + i**2)) ; r,0.0269929468180879*sqrt(Abs(i**2 - 3.73912712819402*i + 3.05597619326883)) ; r
3630,0.8389764362278314,i*sqrt(Abs(B0*s + B1*i*s)) ; i**3,i*sqrt(Abs(0.19872060271483*i*s - 0.074131088329539*s)) ; i**3
3631,0.8388354148630429,B0*sqrt(Abs(i)) + s ; r,s - 1.66078950673509*sqrt(Abs(i)) ; r
3632,0.8386813203915692,B0*Abs(i)**(3/2) + s*Abs(i)**(3/2) ; B1 + B2*sqrt(Abs(i*r - r**2)) - r,s*Abs(i)**(3/2) - 0.358568047968976*Abs(i)**(3/2) ; -r + 1.67422146945668*sqrt(Abs(i*r - r**2)) - 0.119753959746172
3633,0.8385829251288583,B0*i*s + s*Abs(i)**(3/2) ; B1 + r - sqrt(Abs(r)),9.99953438978987*i*s + s*Abs(i)**(3/2) ; r - sqrt(Abs(r)) + 215.717458461264
3634,0.8385584608824919,B0*i*s ; B1*r - i*r - 2*r**2,0.298489047414647*i*s ; -i*r - 2*r**2 + 0.00168847696953293*r
