rank,reward,equations,equations_with_constants
1469,0.8775673040494859,B0*i + B1*Abs(i)**(5/4) ; sqrt(Abs(i)),-0.00790816908822405*i - 0.00248922899413543*Abs(i)**(5/4) ; sqrt(Abs(i))
1470,0.8775565664252232,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; sqrt(Abs(B2 + B3*r)),sqrt(Abs(0.00156067706827416*sqrt(Abs(s)) - 0.000489826290327248)) ; sqrt(Abs(0.0781963144251043*r + 0.000876911903092772))
1471,0.8775551451608183,B1*sqrt(Abs(B0 - sqrt(Abs(s)))) ; -4*i,0.0375315915231723*sqrt(Abs(sqrt(Abs(s)) - 0.291455333979752)) ; -4*i
1472,0.8775543910274504,B1*sqrt(Abs(B0 - sqrt(Abs(s)))) ; r,0.0373574289480302*sqrt(Abs(sqrt(Abs(s)) - 0.282452469919902)) ; r
1473,0.8775243663855615,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; B2 + 2*i + r,sqrt(Abs(0.00133066347478916*sqrt(Abs(s)) - 0.000369179681210754)) ; 2*i + r + 0.00172062570424819
1474,0.877495463666812,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; sqrt(Abs(B2 - r)),sqrt(Abs(0.00150185262873232*sqrt(Abs(s)) - 0.00044954324074618)) ; sqrt(Abs(r - 26.174954021894))
1475,0.8774545562143565,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; B2*Abs(r)**(1/4),sqrt(Abs(0.00124801863505881*sqrt(Abs(s)) - 0.000334097272945902)) ; 4.67947018005354*Abs(r)**(1/4)
1476,0.8774172132800598,B0 + sqrt(Abs(B1 + B2*i*s)) ; sqrt(Abs(B3 + i)),sqrt(Abs(0.00180567030171497*i*s - 0.435094833771298)) - 0.660249011644781 ; sqrt(Abs(i + 76.5232670309545))
1477,0.8773941392867712,s*sqrt(Abs(B0*i + B1*s)) ; B2 - i + 2*r,s*sqrt(Abs(0.000191255102747887*i + 0.0204812305822534*s)) ; -i + 2*r + 245.974621872967
1478,0.8773693587809325,B1*sqrt(Abs(B0 - sqrt(Abs(s)))) ; i,0.0347233306651213*sqrt(Abs(sqrt(Abs(s)) - 0.251721515562649)) ; i
1479,0.8773310767967353,B0*i ; i*sqrt(Abs(2*i + r)),0.609956012364708*i ; i*sqrt(Abs(2*i + r))
1480,0.8773123864844113,B0*Abs(i)**(1/4)*sqrt(Abs(s)) ; i,0.102626180405322*Abs(i)**(1/4)*sqrt(Abs(s)) ; i
1481,0.8772621145594081,B0*sqrt(Abs(i)) + B1*Abs(i)**(3/2) ; r,-0.104594501645894*Abs(i)**(3/2) + 0.122976491812923*sqrt(Abs(i)) ; r
1482,0.8772585951333691,B1*sqrt(Abs(B0 + i - s)) ; sqrt(Abs(i)),0.00495330710075196*sqrt(Abs(i - s + 99.7405318964635)) ; sqrt(Abs(i))
1483,0.8772412734549256,B0 + B1*i ; sqrt(Abs(B2*sqrt(Abs(i)) + B3 - r)),0.000420158841828633*i + 0.043494944585773 ; sqrt(Abs(r - 1.71405809666436*sqrt(Abs(i)) + 0.557379244710583))
1484,0.8772344441335413,B0 + B2*sqrt(Abs(B1*s - i)) ; 3*i,0.085717877453722 - 0.0133973314477834*sqrt(Abs(i + 13.6100943171453*s)) ; 3*i
1485,0.8771952914691513,B0 + B1*i + B1*sqrt(Abs(s)) ; B2*i,0.0546239349445029*i + 0.0546239349445029*sqrt(Abs(s)) - 0.0155888310549881 ; 0.0737994667122372*i
1486,0.8771853109548726,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; sqrt(Abs(B2*i + B2*r)),sqrt(Abs(0.00124551894754876*sqrt(Abs(s)) - 0.000305806501321587)) ; sqrt(Abs(0.981331636149877*i + 0.981331636149877*r))
1487,0.8771614956503246,B0*Abs(i)**(1/4)*Abs(s)**(5/4) ; B1 - i + r,0.034709594782384*Abs(i)**(1/4)*Abs(s)**(5/4) ; -i + r + 0.0265292809821157
1488,0.877154034749014,B0 + B1*i ; sqrt(Abs(B2*sqrt(Abs(i)) + B3 - i)),0.000432001339277118*i + 0.0445734395566423 ; sqrt(Abs(i + 1.67465027059876*sqrt(Abs(i)) + 1.19242491324311))
1489,0.8771355347137667,B0*i*s**3 ; 2*r,0.390231132655757*i*s**3 ; 2*r
1490,0.8771355282822598,B0*i*s**3 ; Abs(i)**(5/2)*Abs(r)**(3/2),0.391371089867483*i*s**3 ; Abs(i)**(5/2)*Abs(r)**(3/2)
1491,0.8771214948972739,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; B2*Abs(i)**(1/4),sqrt(Abs(0.00169792180659178*sqrt(Abs(s)) - 0.000539140836948198)) ; 0.00317306031491756*Abs(i)**(1/4)
1492,0.8771164203467516,B0 + B1*i + B2*s ; i + Abs(r)**(3/2),-0.000630353617092168*i + 0.107630755655751*s - 0.0382258283761509 ; i + Abs(r)**(3/2)
1493,0.8771075364867634,B0*sqrt(Abs(i - sqrt(Abs(i)))) ; r,0.0528341578206646*sqrt(Abs(i - sqrt(Abs(i)))) ; r
1494,0.8770282146571672,B0 + B1*sqrt(Abs(i)) ; B2 + i*Abs(r)**(1/8),0.348916989198536*sqrt(Abs(i)) - 0.110639931747781 ; i*Abs(r)**(1/8) - 0.102073289007758
1495,0.8770133790477208,B0*sqrt(Abs(i - sqrt(Abs(i)))) ; -i*Abs(r)**(1/4) + r,0.0526288321338546*sqrt(Abs(i - sqrt(Abs(i)))) ; -i*Abs(r)**(1/4) + r
1496,0.8769543964941922,B0 + B1*i ; sqrt(Abs(B2*sqrt(Abs(r)) + B3 - r)),0.000435482576231361*i + 0.0450259320503774 ; sqrt(Abs(-r + 2.03490092434934*sqrt(Abs(r)) + 0.821216595071373))
1497,0.8766602027731704,B0 + B1*sqrt(Abs(i)) ; sqrt(Abs(i)),0.0524513783074117 - 0.00451009691292683*sqrt(Abs(i)) ; sqrt(Abs(i))
1498,0.8766443407348066,B0*i + B1*s ; 2*r - sqrt(Abs(i - r)),0.000166611539251245*i + 0.0413845261884319*s ; 2*r - sqrt(Abs(i - r))
1499,0.8765381405881362,B0*sqrt(Abs(s - sqrt(Abs(i)))) ; i,0.0332193992686077*sqrt(Abs(s - sqrt(Abs(i)))) ; i
1500,0.876468718143643,B0 + B1*i + B2*s ; i - r,3.77795969284641*i + 1.89255403546997*s - 1.88862768261231 ; i - r
1501,0.8764556193111434,B0 + B1*i + B2*s ; -i + r,0.000531329770163206*i + 0.0592488967525977*s - 0.0423516215565544 ; -i + r
1502,0.8764410188730998,B0*i*s ; B1 - r + sqrt(Abs(B2 + i)),-0.000546522194239675*i*s ; -r + sqrt(Abs(i + 212.708461979305)) + 89.4711459054168
1503,0.8763579185003761,i*s**2 ; B0 + i,i*s**2 ; i - 0.0186591772528168
1504,0.8763520974624975,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; B2*sqrt(Abs(i)),sqrt(Abs(0.00181772212663182*sqrt(Abs(s)) - 0.000629996569680987)) ; 64.083990156264*sqrt(Abs(i))
1505,0.8761999834704443,Abs(i)**(3/2)*Abs(s)**(3/2) ; r,Abs(i)**(3/2)*Abs(s)**(3/2) ; r
1506,0.876188834496993,B0*Abs(i)**(5/4)*sqrt(Abs(s)) ; B1 + i*sqrt(Abs(r - sqrt(Abs(i)))),0.204220480706756*Abs(i)**(5/4)*sqrt(Abs(s)) ; i*sqrt(Abs(r - sqrt(Abs(i)))) + 0.139500814222852
1507,0.8761481821418253,B0 + B1*i + B2*s ; sqrt(Abs(B3 + B4*sqrt(Abs(i)) - i + r)),-0.00138487641526465*i + 0.133642475865563*s - 0.130630361428507 ; sqrt(Abs(i - r + 72.623159565026*sqrt(Abs(i)) - 315.870432353927))
1508,0.876138315005072,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; sqrt(Abs(B2 + B3*i)),sqrt(Abs(0.00173957313907717*sqrt(Abs(s)) - 0.000545353770957966)) ; sqrt(Abs(0.0117470511129698*i + 0.699393246967928))
1509,0.8761253677903145,B1*sqrt(Abs(B0*i - i**2)) ; B2 - r + Abs(i)**(3/2),0.0320175112440088*sqrt(Abs(i**2 - 0.286067652970812*i)) ; -r + Abs(i)**(3/2) + 0.336037910034213
1510,0.8761046696793858,B1*sqrt(Abs(B0 + i*s)) ; B2 + sqrt(Abs(i)),0.00378394826417842*sqrt(Abs(i*s - 17.2531681269295)) ; sqrt(Abs(i)) + 5.34643666489172
1511,0.8760294292322204,Abs(i)**(3/2) ; B0 + B1*r + B1*sqrt(Abs(r)),Abs(i)**(3/2) ; -0.035488055649972*r - 0.035488055649972*sqrt(Abs(r)) + 0.0830946985459505
1512,0.8760124158819699,B0*i + B1*s ; -i**2*r + sqrt(Abs(i)),-0.0217580725290752*i + 0.0364626728935622*s ; -i**2*r + sqrt(Abs(i))
1513,0.8759864946368823,B0*s**2 ; B1 + sqrt(Abs(B2 + i)),0.045354254076921*s**2 ; sqrt(Abs(i + 2.6799541920249)) + 0.00629993361789768
1514,0.8759864946163325,B0*s**2 ; B1 + i - sqrt(Abs(i)),0.0453563095421013*s**2 ; i - sqrt(Abs(i)) + 0.000623138265978471
1515,0.875986494500089,B0*s**2 ; B2*sqrt(Abs(B1 + i)),0.0453583406501814*s**2 ; 0.10617804301279*sqrt(Abs(i + 0.000306036247815313))
1516,0.8759864928758764,B0*s**2 ; B1 + sqrt(Abs(i + r)),0.0453424929148623*s**2 ; sqrt(Abs(i + r)) + 0.0337587542557553
1517,0.8759864928028335,B0*s**2 ; B1 + r + sqrt(Abs(r)),0.045367460777312*s**2 ; r + sqrt(Abs(r)) + 46.2942371547771
1518,0.8759864482996014,B0*s**2 ; i**2*sqrt(Abs(r)),0.0452915563496171*s**2 ; i**2*sqrt(Abs(r))
1519,0.8759399715984362,B0 + B1*i + B2*s ; sqrt(Abs(B3 + B4*sqrt(Abs(r)) + i - r)),-0.00125884209769353*i + 0.128255632966103*s - 0.117058624347572 ; sqrt(Abs(i - r + 4.60217938587883*sqrt(Abs(r)) - 20.6888780394914))
1520,0.8759399715725886,B0 + B1*i + B2*s ; sqrt(Abs(B3 + B4*sqrt(Abs(r)) - i + r)),-0.00125886355114887*i + 0.128254039480747*s - 0.117060242549802 ; sqrt(Abs(i - r + 4.60626223975275*sqrt(Abs(r)) - 20.7049773921092))
1521,0.8758775503110594,sqrt(Abs(B0 + B1*sqrt(Abs(s)))) ; B2*sqrt(Abs(r)),sqrt(Abs(0.00181495926664048*sqrt(Abs(s)) - 0.000587766309579372)) ; 0.375881498926441*sqrt(Abs(r))
1522,0.8758546841028689,B0 + B1*i + B2*s ; Abs(i - r)**(1/4),0.000860389154371205*i - 0.0467360125907376*s + 0.0822943909000348 ; Abs(i - r)**(1/4)
1523,0.8758414737347591,B1*i*sqrt(Abs(B0 + s)) ; B2 - sqrt(Abs(i)),0.000385504358804905*i*sqrt(Abs(s + 0.173875323465805)) ; -sqrt(Abs(i)) - 8.62718149954954
1524,0.8757051365447212,B0*sqrt(Abs(i*s**2 - s)) ; Abs(B1 + i + 2*r)**(1/4),0.017970482675305*sqrt(Abs(i*s**2 - s)) ; Abs(i + 2*r - 0.00509673417295188)**(1/4)
1525,0.875672596297496,B0*i**2 ; B1 - r**3 + r,0.109089575534131*i**2 ; -r**3 + r + 0.000405210252316475
1526,0.8756658958219942,B0 + s + sqrt(Abs(i)) ; sqrt(Abs(B1*r + r**2)),s + sqrt(Abs(i)) - 1.15465755499947 ; sqrt(Abs(r**2 + 1.78718717537256*r))
1527,0.8755072641710162,B0*Abs(i)**(5/4)*sqrt(Abs(s)) ; i,2.86849495974933*Abs(i)**(5/4)*sqrt(Abs(s)) ; i
1528,0.8755002196239073,B0 + B1*i + B2*s ; B3*i - 2*i*r,-0.479771037708303*i - 0.315277923570093*s + 0.328112366262531 ; -2*i*r + 0.658933626163856*i
1529,0.8754958972598192,B0*s*sqrt(Abs(i)) ; B1 + B2*i + B3*i*r,0.100822935953317*s*sqrt(Abs(i)) ; 0.0922377153761646*i*r - 0.449508673340857*i + 0.0300294538587672
1530,0.8754948204287774,B0*i**2 + B1*i*s ; B2 + sqrt(Abs(B3 + i)),1.05275486009009e-6*i**2 - 0.00125279828147072*i*s ; sqrt(Abs(i + 21.4136905130934)) + 3.08885308441737
1531,0.8754767240031637,B0*i**3*s ; B1 + i,-28.1302156954966*i**3*s ; i + 0.174074810674614
1532,0.8754692955092588,B0*sqrt(Abs(i))*Abs(s)**(3/2) ; B1*i + B2*i**3,0.0668909650812713*sqrt(Abs(i))*Abs(s)**(3/2) ; -7.46163504172859e-6*i**3 - 0.337302654209698*i
1533,0.8754624814741163,B0*i ; -i + r,0.000127828943741377*i ; -i + r
1534,0.8754561649248475,B0*i*Abs(s)**(3/2) ; B1 + B2*r - i**2*r,0.698538629892355*i*Abs(s)**(3/2) ; -i**2*r + 0.102450496310248*r + 0.0106629881412395
1535,0.8754460724270989,B0*i**2 + B1*i*s ; B2 + B3*i,1.03908599140494*i**2 + 0.301349614832657*i*s ; 0.394872604147141*i - 0.0169967504651225
1536,0.8754219222017031,B0*i + B1*i*s**2 ; B2 + B3*sqrt(Abs(r)),0.143813944542799*i*s**2 - 0.151084865589844*i ; 5.30646704142598 - 5.22129330430565*sqrt(Abs(r))
1537,0.8754218886530376,B0 + B1*Abs(i - s)**(1/4) ; B2*i,0.0514775298617057 - 0.0167743717210827*Abs(i - s)**(1/4) ; -0.134015701483781*i
1538,0.8754178364327548,B0*i + B1*i*s ; B2 + r,-0.000567802990552816*i*s - 9.92222812290176e-5*i ; r + 1.94483853838361
1539,0.8754107817158446,s*Abs(B0 + s)**(1/4) ; B1 + i + r,s*Abs(s + 55.2437687003352)**(1/4) ; i + r + 0.584684531259871
1540,0.8754106335328586,s*Abs(B0 - i)**(1/4) ; i*r**2,s*Abs(i - 56.2393686922937)**(1/4) ; i*r**2
1541,0.8753979915975478,B0 + B1*i + B2*i*s ; B3*i,0.370520163200212*i*s + 0.0333376167168378*i + 0.000584696792500004 ; 0.131492219064643*i
1542,0.8753794604461541,B1*sqrt(Abs(B0 + i*s**2)) ; B2*Abs(r)**(1/8),0.118777866014849*sqrt(Abs(i*s**2 - 2.62833247540974e-6)) ; 0.00101575651662521*Abs(r)**(1/8)
1543,0.875378067218513,B1*Abs(B0*i + i**2)**(1/4) ; B2*i + i**2 + i*r,0.0511582205060843*Abs(i**2 - 0.00294747637554433*i)**(1/4) ; i**2 + i*r - 0.428175057649092*i
1544,0.8753599193427606,B0*s**2 + B1*i*s ; B2*sqrt(Abs(i)),0.360595972266508*i*s + 0.00475288571001104*s**2 ; 0.0351146572113628*sqrt(Abs(i))
1545,0.8753389094540764,B0 + B1*s + B2*i*s ; B3 + i + r,-0.0440655760784037*i*s + 0.0467345858697106*s - 0.0401186039315691 ; i + r + 0.118797895485657
1546,0.8753043806940694,B0 + B1*s + B2*i*s ; B3 + B4*sqrt(Abs(i)),-0.00170658936815175*i*s + 0.00433148793095843*s + 0.00597986870644445 ; 0.959514307479605*sqrt(Abs(i)) + 0.797570776988657
1547,0.8752880583951516,B0 + B1*s + B2*i*s ; B3 - r,0.229960367778501*i*s - 0.00375048370175233*s + 0.00231660507624925 ; -r - 0.0452410559478131
1548,0.8752806950755477,B0 + B1*i + B2*s ; B3 + B4*r + B5*i*r,-0.180344885563837*i + 1.10438364843949*s - 1.07658723196424 ; 0.0386539759355278*i*r + 0.220008889719603*r + 0.0932012590010891
1549,0.8752734860071829,B0*sqrt(Abs(i)) + B1*Abs(i)**(3/2) ; i - r,-0.278129587075597*Abs(i)**(3/2) + 0.166305697675234*sqrt(Abs(i)) ; i - r
1550,0.8752639401655132,s*sqrt(Abs(B0 + sqrt(Abs(B1 + i*s)))) ; B2*Abs(i)**(1/4)*Abs(r)**(1/4),s*sqrt(sqrt(Abs(i*s - 3.01372781885072)) + 5.11113389288973) ; 34.7311759868051*Abs(i)**(1/4)*Abs(r)**(1/4)
1551,0.8752588351081928,B0*s + B1*i*s ; -i + r,0.000559170972626215*i*s + 0.011634063860561*s ; -i + r
1552,0.8752569623900577,B0*s**2 + B1*i*s ; B2 + B3*r,0.27870871268937*i*s + 0.00686453389351986*s**2 ; 0.0405726949699202*r + 0.00341502105300462
1553,0.8752502988875178,i*sqrt(Abs(B0*s + B1)) ; B2 + B3*sqrt(Abs(i)) - r,i*sqrt(Abs(3.86116310389032e-7*s + 7.69444257583465e-8)) ; -r - 3.8321006014918*sqrt(Abs(i)) - 28.3244614258518
1554,0.8752486386802601,B0*s**2 + B1*i*s ; sqrt(Abs(B2 + i)),-0.0018371502446953*i*s + 0.0074329097372802*s**2 ; sqrt(Abs(i - 3.56302841915617))
1555,0.8752392532472598,B0*sqrt(Abs(i))*sqrt(Abs(s)) ; -i**2 + r,0.00384110031024013*sqrt(Abs(i))*sqrt(Abs(s)) ; -i**2 + r
1556,0.8752297136515598,B0 + B1*s + B2*s**2 ; Abs(i)**(1/4),-0.236666009595018*s**2 + 0.240745551173586*s + 0.00229849629285375 ; Abs(i)**(1/4)
1557,0.8752297136446174,B0 + B1*s + B2*s**2 ; B3*i**2 + B4*i*r,-0.236672374037008*s**2 + 0.240749996831242*s + 0.00229977439902196 ; 0.0135223586741568*i**2 + 0.247588519317959*i*r
1558,0.8752297136327444,B0 + B1*i + B2*s**2 ; r,-0.240741420422077*i - 0.236662454657481*s**2 + 0.243040792485705 ; r
1559,0.8752297136315208,B0 + B1*i + B2*i**2 ; r + Abs(r)**(3/4),-0.236662257516851*i**2 + 0.232583290559393*i + 0.00637836556937186 ; r + Abs(r)**(3/4)
1560,0.875229713631301,B0 + B1*s + B2*s**2 ; i,-0.23666221896664*s**2 + 0.240741148684777*s + 0.00229942955455919 ; i
1561,0.8752297135608191,B0 + B1*s + B2*i*s ; r,0.236653770433399*i*s + 0.00407762567503779*s + 0.00230147448294399 ; r
1562,0.8752297133326244,B0 + B1*i + B2*i*s ; B3*Abs(r)**(3/2),0.236647770293736*i*s - 0.00408096118072772*i + 0.00637965544492659 ; 0.231574681248174*Abs(r)**(3/2)
1563,0.8752297133235961,B0 + B1*i + B2*i*s ; B3*r*sqrt(Abs(i)),0.236713853904559*i*s - 0.00409356670856831*i + 0.00637415805962452 ; 0.00034872131551703*r*sqrt(Abs(i))
1564,0.8752297133183284,B0 + B1*i + B2*i*s ; B3*i*r,0.236642386027443*i*s - 0.00406631406908044*i + 0.00637963575377307 ; 18.8258901723889*i*r
1565,0.8752297130315358,B0 + B1*s + B2*s**2 ; B3 - i,-0.236727611775076*s**2 + 0.240825830775134*s + 0.00227490376657704 ; 68.7204127448521 - i
1566,0.8752297129749045,B0 + B1*s + B2*s**2 ; B3 + 2*i + 2*r,-0.236730035520105*s**2 + 0.24082108861503*s + 0.00228118766888213 ; 2*i + 2*r + 0.0634826735838764
1567,0.8752297029777104,B0 + B1*s + B2*s**2 ; B3 + r - sqrt(Abs(r)),-0.236452925453708*s**2 + 0.240471931694348*s + 0.00237624959703034 ; r - sqrt(Abs(r)) + 0.433951231784294
1568,0.875226945655297,B0*Abs(s)**(3/2) + B1*i*s ; r,0.24460860559838*i*s + 0.00602920962206611*Abs(s)**(3/2) ; r
1569,0.8752248733733552,B0*s + B1*i*s**2 ; sqrt(Abs(B2 + i)),-0.0101908199841068*i*s**2 - 0.00539030900024272*s ; sqrt(Abs(i + 3.1710790024586))
1570,0.8752235255161488,B0*s**2 + B1*i*s ; B2*r + i*r,0.247126522484481*i*s + 0.00607456748883502*s**2 ; i*r + 0.418113886396072*r
1571,0.8752235255132926,B0*s**2 + B1*i*s ; -Abs(r)**(1/8),0.24712403364569*i*s + 0.00607485040431648*s**2 ; -Abs(r)**(1/8)
1572,0.8752235255123171,B0*s**2 + B1*i*s ; i*r,0.247123728919494*i*s + 0.00607488718858621*s**2 ; i*r
1573,0.8752235255110636,B0*s + B1*s**2 ; -i**2 - i*r + 2*r,-0.241048471844457*s**2 + 0.247123391625482*s ; -i**2 - i*r + 2*r
1574,0.8752235255091846,B0*s**2 + B1*i*s ; r - sqrt(Abs(r)),0.247122948485164*i*s + 0.00607497431729589*s**2 ; r - sqrt(Abs(r))
1575,0.8752235255090645,B0*s + B1*s**2 ; Abs(B2 + r**2 - r)**(1/8),-0.241047934789571*s**2 + 0.247122923647223*s ; Abs(r**2 - r + 0.00845452231243927)**(1/8)
1576,0.8752235255052399,B0*s**2 + B1*i*s ; r,0.247122188008879*i*s + 0.00607505170599307*s**2 ; r
1577,0.8752235254814612,B0*s**2 + B1*i*s ; sqrt(Abs(r)),0.247119184502857*i*s + 0.00607541061860223*s**2 ; sqrt(Abs(r))
1578,0.8752235252524134,B0*s + B1*s**2 ; B2 + B3*r + 3*i,-0.241030366687195*s**2 + 0.247107149323044*s ; 3*i + 0.278024669409469*r + 0.0478772228168788
1579,0.8752235233944625,B0*s**2 + B1*i*s ; B2*i*r,0.247179664071088*i*s + 0.00606850435734098*s**2 ; 0.000147757501798525*i*r
1580,0.8752195887132979,B0 + B1*i + B2*s ; -i + (1 + sqrt(2))*sqrt(Abs(r)),-0.000553992706327218*i + 0.0553754467474295*s - 0.044482929152996 ; -i + (1 + sqrt(2))*sqrt(Abs(r))
1581,0.8751994147872099,B1*s*sqrt(Abs(B0 - i)) ; i,0.315745292740803*s*sqrt(Abs(i - 0.0624698794259595)) ; i
1582,0.8751838537566675,B0*sqrt(Abs(s + sqrt(Abs(i)))) ; 2*i,0.0269668640238962*sqrt(Abs(s + sqrt(Abs(i)))) ; 2*i
1583,0.875183624143909,B0*i ; B2*i*sqrt(Abs(r + sqrt(Abs(B1 + r)))),0.505211049001297*i ; 0.505808782310468*i*sqrt(Abs(r + sqrt(Abs(r + 0.0632057639000876))))
1584,0.8751828705162523,i**2 ; B0 + sqrt(Abs(B1*r + i)),i**2 ; sqrt(Abs(i + 0.0883164910989326*r)) - 0.419811463718937
1585,0.8751805547296546,B0*s + B1*Abs(s)**(5/2) ; i*r,0.192295181443297*s - 0.189417093999463*Abs(s)**(5/2) ; i*r
1586,0.8751351036450601,B0*i + B1*i*sqrt(Abs(s)) ; B2 + B3*i*sqrt(Abs(r)),-1.08478074372024*i*sqrt(Abs(s)) + 0.388512325018401*i ; 0.00161760527482612*i*sqrt(Abs(r)) + 0.0492917363397022
1587,0.8751341700313094,B0*i**2*s ; i**4 + i,52.1352199663042*i**2*s ; i**4 + i
1588,0.8751336406692313,B0*s**2 + B1*i*s ; B2 + B3*r*sqrt(Abs(i + r)),-0.00187934257686874*i*s + 0.003392663594617*s**2 ; 0.112632009591026*r*sqrt(Abs(i + r)) + 3.39700583827366
1589,0.8751187403341534,B0*i**2 + B1*s ; i,-18.8742538389982*i**2 + 0.12389038743008*s ; i
1590,0.8751178147105223,B0*i + B1*s ; i + Abs(i)**(1/4)*sqrt(Abs(r)),-0.00789606485403971*i + 0.0512152040812881*s ; i + Abs(i)**(1/4)*sqrt(Abs(r))
1591,0.8751109140548894,B0*Abs(s)**(3/2) + B1*s**2 ; -2**(1/4)*Abs(r)**(1/4),-0.593414027870253*s**2 + 0.594965513485191*Abs(s)**(3/2) ; -2**(1/4)*Abs(r)**(1/4)
1592,0.8751109140488273,B0*Abs(s)**(3/2) + B1*s**2 ; i,-0.593418372248722*s**2 + 0.594969493720776*Abs(s)**(3/2) ; i
1593,0.8751066368923439,i**2*s ; B0*Abs(i)**(1/4),i**2*s ; 0.0495116528245878*Abs(i)**(1/4)
1594,0.875101817468476,B0 + B1*i ; B2*i**2 + B3*i*r,0.315435384317468*i + 0.000557883043518756 ; 0.916539129140781*i**2 + 0.540802371925851*i*r
1595,0.8750648888361053,B0*s + B1*s**3 ; sqrt(Abs(B2 - i)),0.0286655605095896*s**3 + 2.63765956030973*s ; sqrt(Abs(i - 0.00307493457916898))
1596,0.875064888021099,B0*s + B1*s**3 ; B2*sqrt(Abs(i))*sqrt(Abs(r)),0.0286707567981331*s**3 + 2.63764527636822*s ; 0.0330581292237461*sqrt(Abs(i))*sqrt(Abs(r))
1597,0.8750536381955318,B0 + B1*i + B2*s**2 ; B3 + sqrt(Abs(r)),0.00106482708349801*i - 0.100970550053776*s**2 + 0.110999057144061 ; sqrt(Abs(r)) - 0.18593087864381
1598,0.8750498399397197,B0 + B1*i + B2*Abs(i)**(3/2) ; Abs(r)**(1/4),0.413554273699737*i - 0.409128962632907*Abs(i)**(3/2) + 0.000424904810892731 ; Abs(r)**(1/4)
1599,0.8750197064162293,B0*i**2 + B1*s ; B2 - 2*i,2.52270362564617e-6*i**2 + 0.0502302318081967*s ; 0.0880483637616256 - 2*i
1600,0.8749931080512091,B0*i*sqrt(Abs(s)) ; B1*i**2 + B2*i*r,0.323637949495127*i*sqrt(Abs(s)) ; 0.611209073974877*i**2 + 0.1356389414412*i*r
1601,0.8749898307715988,B0*sqrt(Abs(i)) + B1*s ; sqrt(Abs(i)),0.0496310739173406*s + 0.00174328812559486*sqrt(Abs(i)) ; sqrt(Abs(i))
1602,0.8749741391921901,B0*s**2 - i*s**2 ; B1*r + i,-i*s**2 + 0.0156589401985411*s**2 ; i + 0.470001798576672*r
1603,0.8749503312175355,B0 - s + sqrt(Abs(B1 + sqrt(Abs(i)))) ; r**2,-s + sqrt(Abs(sqrt(Abs(i)) - 0.842549431132828)) + 0.195703561566738 ; r**2
1604,0.8748884213146634,B0*s + B1*s**3 ; sqrt(Abs(B2*sqrt(Abs(r)) - r)),-0.163677445813137*s**3 + 0.163927877786471*s ; sqrt(Abs(r - 0.263186573546339*sqrt(Abs(r))))
1605,0.8748884184248771,B0*s + B1*s**3 ; sqrt(Abs(B2*r - i)),-0.163588668725803*s**3 + 0.163853641206276*s ; sqrt(Abs(i - 0.221629653098263*r))
1606,0.874874593975202,B0*sqrt(Abs(i**2 + i*s)) ; B1*i,0.138947577383241*sqrt(Abs(i**2 + i*s)) ; 0.282731571927885*i
1607,0.8748109556845659,B0*sqrt(Abs(i - sqrt(Abs(i)))) ; B1 - sqrt(Abs(r)),0.0229541812881848*sqrt(Abs(i - sqrt(Abs(i)))) ; 1.07100051520778 - sqrt(Abs(r))
1608,0.8748012084994509,B0*i + B1*i**2*s ; B2 + B3*i + B4*r,20.4702451187238*i**2*s + 0.0719434011442136*i ; 1.5552216415601*i + 0.180195249836953*r + 0.0597548155112554
1609,0.8747887720996946,B0 + B1*i + B2*s ; B3 + r - sqrt(Abs(i - r)),0.000590731583500837*i + 0.0538407773880642*s - 0.0482698773733979 ; r - sqrt(Abs(i - r)) - 1.25119948989294
1610,0.8747798029245414,B0*i**2 + B1*i*s ; B2 - i - r,1.16214976195171e-5*i**2 + 0.014705728183809*i*s ; -i - r - 0.448536013460888
1611,0.8747639690963763,B0*s**2 + B1*i*s ; B2 - i - r,0.0213744770729054*i*s + 0.0067254742602449*s**2 ; -i - r - 0.216844963772817
1612,0.8747454565836823,B0*Abs(i)**(3/2)*sqrt(Abs(s)) ; B1 + sqrt(Abs(B2 + B3*i)),3.51161891635939e-5*Abs(i)**(3/2)*sqrt(Abs(s)) ; sqrt(Abs(215.399615570756*i - 201.898293635516)) - 15.8888926106854
1613,0.8747295413711902,B0 + B1*i + B2*s ; B3 + i*Abs(r)**(3/2),-1.56353826448142*i + 0.0974743478894317*s - 0.0455683106775412 ; i*Abs(r)**(3/2) + 0.0469071653533263
1614,0.8747245233522137,B0 + B1*i ; sqrt(Abs(B2 + i**2)),0.000196393394490675*i + 0.0297821490188891 ; sqrt(Abs(i**2 - 0.0234562215507457))
1615,0.8747141102179696,B0 + B1*i + B2*i*s ; B3 + r,-0.00137343421206533*i*s + 0.000211650870656904*i + 0.0285096671524899 ; r + 0.00101058784686399
