rank,reward,equations,equations_with_constants
1193,0.8766091697963473,s*Abs(B0 + s)**(1/4) ; B1 + B2*r,s*Abs(s - 54.3881941613895)**(1/4) ; 0.000146641084581892*r + 22.9932160996447
1194,0.8766091694319242,s*Abs(B0 + s)**(1/4) ; B1 - i - r,s*Abs(s - 54.3876643718916)**(1/4) ; -i - r + 47.7902592564367
1195,0.8766091676033779,s*Abs(B0 + s)**(1/4) ; B1 - i - 2*r,s*Abs(s - 54.3885539183664)**(1/4) ; -i - 2*r + 35.40095925996
1196,0.876609162457415,s*Abs(B0 + s)**(1/4) ; B1 + i - 2*r,s*Abs(s - 54.388979657983)**(1/4) ; i - 2*r + 29.640343460907
1197,0.8766091507476543,s*Abs(B0 + s)**(1/4) ; B1 - i,s*Abs(s - 54.3895699133586)**(1/4) ; 41.6901233740875 - i
1198,0.8766091451945344,s*Abs(B0 + s)**(1/4) ; B1 + i,s*Abs(s - 54.3897837079398)**(1/4) ; i + 38.6568136457987
1199,0.8766091438713297,s*Abs(B0 + s)**(1/4) ; B1 + i - r,s*Abs(s - 54.3861171527733)**(1/4) ; i - r + 48.2160998710293
1200,0.8765946505559189,B0 + B1*sqrt(Abs(i))*Abs(s)**(3/2) ; B3*sqrt(Abs(B2 + r)),0.0377859255940309*sqrt(Abs(i))*Abs(s)**(3/2) - 0.022873920099487 ; 0.768083898511802*sqrt(Abs(r - 1.0756260695162))
1201,0.8765873407385029,B0*i**2 ; B1 + B2*r + i,3.76755298026134*i**2 ; i - 0.116623210409118*r + 0.174271005741323
1202,0.8765619338395143,B0*Abs(i)**(3/2)*sqrt(Abs(s)) ; B1 + B2*r**2 + i,0.116646574110892*Abs(i)**(3/2)*sqrt(Abs(s)) ; i + 0.601827609854861*r**2 - 0.5813852412886
1203,0.876499795358373,B0 + B1*i + B2*s ; B3 - i + r,0.000569070347148631*i + 0.0677856076390756*s - 0.0510030472844074 ; -i + r + 0.022276543712894
1204,0.876338725357176,B0 + B1*i + B1*s ; B2*i**2,0.0503941987502544*i + 0.0503941987502544*s - 0.011587673072314 ; 0.121331393496666*i**2
1205,0.8762992105371461,B0*sqrt(Abs(i)) ; B1*i + B2*r,0.164299706862685*sqrt(Abs(i)) ; 0.833120815150988*i + 0.0119411127671937*r
1206,0.8762448111984912,B0 + B1*Abs(i)**(3/2) ; sqrt(Abs(i)),0.0426428662392946 - 3.77914398693601e-5*Abs(i)**(3/2) ; sqrt(Abs(i))
1207,0.8761734814747107,B0*i ; i**2 + i,0.992958584133901*i ; i**2 + i
1208,0.8761076276397086,Abs(i)**(5/2)*sqrt(Abs(s)) ; B0 - r + sqrt(Abs(r)),Abs(i)**(5/2)*sqrt(Abs(s)) ; -r + sqrt(Abs(r)) - 0.177802515246209
1209,0.8760923097527225,B0*i ; B1 + B2*i + B3*sqrt(Abs(r)),-0.0135776179357118*i ; -0.800972212442074*i - 2.76671225442739*sqrt(Abs(r)) + 2.76925978091122
1210,0.8760888595345945,B0*i + B1*i**2 ; B2 + B3*Abs(i)**(1/4) + r,-2.59841566402028e-5*i**2 - 0.00263863060704023*i ; r - 27.3598332722742*Abs(i)**(1/4) + 39.275933435291
1211,0.8760536968441681,B0*i*s**2 ; B2*sqrt(Abs(B1*r + r**2)),0.334688874090909*i*s**2 ; 0.176402482388538*sqrt(Abs(r**2 + 51.8374710965675*r))
1212,0.8760191934000185,B1*sqrt(Abs(B0 - s)) ; B2 - i*r + i,0.0340676270887853*sqrt(Abs(s + 0.0724733030758308)) ; -i*r + i + 0.7702264887154
1213,0.8760144520245776,B1*s*sqrt(Abs(B0*i - s)) ; sqrt(Abs(r)),0.0210276867010352*s*sqrt(Abs(39.1733905746138*i - s)) ; sqrt(Abs(r))
1214,0.8760028101753843,B1*sqrt(Abs(B0 + s)) ; B2 - Abs(r)**(1/8),0.0343119101451098*sqrt(Abs(s + 0.0891853855624195)) ; 2.51121815156834 - Abs(r)**(1/8)
1215,0.8759809307528497,B1*sqrt(Abs(B0 + s)) ; B2 - sqrt(Abs(r + sqrt(Abs(r)))),0.033416389698828*sqrt(Abs(s + 0.0578343736110787)) ; 0.0100969572957795 - sqrt(Abs(r + sqrt(Abs(r))))
1216,0.8759386965710327,B0*i + B1*s ; i*sqrt(Abs(B2 - 2*r)),-1.16577207396835*i + 0.150902420013151*s ; i*sqrt(Abs(2*r - 0.00527750525163598))
1217,0.8759162400870841,B0*s - i*s ; B1*i**2,-i*s + 0.0900066831479677*s ; 15.5493589009029*i**2
1218,0.8758056116649382,B0*Abs(i)**(3/2)*sqrt(Abs(s)) ; B1 - r*Abs(i)**(3/2),0.502374038846182*Abs(i)**(3/2)*sqrt(Abs(s)) ; -r*Abs(i)**(3/2) + 0.0727156086242485
1219,0.8757584705290143,B0*sqrt(Abs(s)) ; -2*i - 2*r,0.0328771067184403*sqrt(Abs(s)) ; -2*i - 2*r
1220,0.8757581247184283,B0*sqrt(Abs(s)) ; B1 - r**2 + r,0.0328771211652203*sqrt(Abs(s)) ; -r**2 + r + 2.61631960121802
1221,0.8757575200342168,B0*sqrt(Abs(s)) ; B1 + B2*i + r,0.0328771832294361*sqrt(Abs(s)) ; 0.830702836677015*i + r + 3.67010072502461
1222,0.8757574528224711,B0*sqrt(Abs(s)) ; Abs(B1*i + r)**(1/4),0.0328770029972353*sqrt(Abs(s)) ; Abs(0.288710016275662*i + r)**(1/4)
1223,0.8757568529286424,B0*sqrt(Abs(s)) ; i**2 - Abs(i)**(3/2),0.0328768382503621*sqrt(Abs(s)) ; i**2 - Abs(i)**(3/2)
1224,0.8757555746314611,B0*sqrt(Abs(s)) ; B1 - 2*i + r,0.0334385691295942*sqrt(Abs(s)) ; -2*i + r + 4.30924171926652
1225,0.8757538683935491,B0*sqrt(Abs(s)) ; B1*i - i*r,0.0334172271713698*sqrt(Abs(s)) ; -i*r + 0.000157635179126615*i
1226,0.8757536315863804,B0*sqrt(Abs(s)) ; B1*r**2 - i,0.0334172561963806*sqrt(Abs(s)) ; -i + 0.0618990390229297*r**2
1227,0.8757535864869808,B0*sqrt(Abs(s)) ; -r**2 + 2*r,0.033417264906348*sqrt(Abs(s)) ; -r**2 + 2*r
1228,0.8757309556292487,B0*s + B1*i*sqrt(Abs(s)) ; B2*i - i*sqrt(Abs(r)),-0.260724040606285*i*sqrt(Abs(s)) - 0.0183981917838273*s ; -i*sqrt(Abs(r)) + 3.69342269530419*i
1229,0.8755275392565556,B0*i**2*sqrt(Abs(s)) ; B1 + i,0.875304752992377*i**2*sqrt(Abs(s)) ; i - 0.182079696797772
1230,0.8754623784842992,B0 + B1*sqrt(Abs(i)) + B2*i ; Abs(r)**(1/4),-0.253607693104588*i + 0.291880753956868*sqrt(Abs(i)) - 0.0313741466484215 ; Abs(r)**(1/4)
1231,0.8754623765892877,B0 + B1*sqrt(Abs(i)) + B2*i ; B3*r + r**2,-0.253632155697145*i + 0.291899912696015*sqrt(Abs(i)) - 0.0313758802301182 ; r**2 + 0.0782086696501506*r
1232,0.8754623519005206,B0 + B1*sqrt(Abs(i)) + B2*i ; sqrt(Abs(r)),-0.253431606741585*i + 0.291713032160573*sqrt(Abs(i)) - 0.0313540529844944 ; sqrt(Abs(r))
1233,0.8754571931746574,B0*i**2*s ; B1 + 2*i,0.382731577413151*i**2*s ; 2*i - 0.648004225562474
1234,0.875427567010736,B0*i**2*sqrt(Abs(s)) ; B1*sqrt(Abs(i)) + i - r,0.00355228867141082*i**2*sqrt(Abs(s)) ; i - r + 3.94209397997912*sqrt(Abs(i))
1235,0.875417547014261,B0 + B1*sqrt(Abs(i + s)) ; B2*i**2,0.0690559626595168*sqrt(Abs(i + s)) - 0.0314406616455842 ; 0.24016219037286*i**2
1236,0.8753718776091854,B0 + B1*i ; sqrt(Abs(B2 + B3*i)),0.000466135008004478*i + 0.0530922346928789 ; sqrt(Abs(2.15820385935719*i + 108.533201149125))
1237,0.8753459559156895,B0 - i + s ; B1 + i + sqrt(Abs(B2 + i)),-i + s - 1.89385740385392 ; i + sqrt(Abs(i + 1.22864333222289)) - 0.578634678532731
1238,0.8753196222953733,B0*i + B1*s ; B2 + B3*sqrt(Abs(r)) + r,-0.000210791183697997*i + 0.0469852949293836*s ; r + 0.0719689646220539*sqrt(Abs(r)) + 0.000946187517767921
1239,0.8752811143243091,B0 + B1*sqrt(Abs(i)) + B2*s ; 2*i + sqrt(Abs(B3 + r)),0.252643154126351*s + 0.620130948794881*sqrt(Abs(i)) - 0.489988919865053 ; 2*i + sqrt(Abs(r - 0.0435973131459782))
1240,0.8752277992235515,B0*i + i*s ; B1 + B2*i,i*s - 0.362495999468867*i ; 0.276484003013517*i + 0.0019624986311349
1241,0.8752080996956471,B1*sqrt(Abs(B0 + sqrt(Abs(i)))) ; 2*r + sqrt(2)*sqrt(Abs(r)),0.0447919308000114*sqrt(Abs(sqrt(Abs(i)) - 1.02489128485979)) ; 2*r + sqrt(2)*sqrt(Abs(r))
