rank,reward,equations,equations_with_constants
1849,0.21099133197747413,-i*s + s*sqrt(Abs(B0 + B1*s + i)) ; B2*i - i*sqrt(Abs(B3 + r)),-i*s + s*sqrt(Abs(i + 0.37530985778175*s - 0.392684486236873)) ; -i*sqrt(Abs(r + 0.848602141003216)) + 1.37244087711616*i
1850,0.21089894938992493,B0 + B1*i**2 ; B3*sqrt(Abs(B2 - i + 3*r)),0.053662697995743 - 0.44134322381448*i**2 ; 0.0196253500075018*sqrt(Abs(-i + 3*r + 1.32573333238187))
1851,0.21074990604283841,B0*i + B0*s + B1*i**2*s ; -i*r + i*sqrt(Abs(B2 + i**2)),-0.512375355778282*i**2*s + 0.302601437137791*i + 0.302601437137791*s ; -i*r + i*sqrt(Abs(i**2 + 1.02109845250397))
1852,0.2106553230090007,B0*Abs(s)**(1/4) ; B1 + B2*sqrt(Abs(i)) + i,-0.0936128692447541*Abs(s)**(1/4) ; i - 0.523959976472499*sqrt(Abs(i)) - 0.0844590801468652
1853,0.21055367404320904,B0 - 2*i ; B1 + B2*sqrt(Abs(r)) - i,0.488734678834718 - 2*i ; -i + 0.0808935116244128*sqrt(Abs(r)) + 0.211249805810501
1854,0.21023549447375603,B0*s + B1*i*s**2 ; B2*i + Abs(i)**(3/2),-2.83323169504337*i*s**2 + 0.357975803334249*s ; -0.278424998975107*i + Abs(i)**(3/2)
1855,0.21006357254055744,B0 + Abs(i - s)**(1/4) ; B1 + B2*r + B2*sqrt(Abs(i)),Abs(i - s)**(1/4) + 13.6389831585916 ; 0.0143115046673385*r + 0.0143115046673385*sqrt(Abs(i)) + 15.3717822408154
1856,0.20997140138208875,B0 + 2*s ; B1 + B2*sqrt(Abs(r)) + B3*r,2*s - 1.44728370195305 ; -0.0329672691819347*r + 0.0275768106634364*sqrt(Abs(r)) - 0.000144942690398682
1857,0.2096779197924673,B0*s - 2*i*s ; B1*i**2,-2*i*s + 0.551445552329185*s ; 0.495593371383592*i**2
1858,0.20905491409409405,B0*i + i**2 - 2*i*s ; B1*i + B2*i**2 - i**2*r + i*r,i**2 - 2*i*s + 0.804762618473923*i ; -i**2*r - 2.22606641203321*i**2 + i*r + 2.14663421062362*i
1859,0.20810051780925,B0*sqrt(Abs(s)) - s ; B1*i + B2*r,-s + 0.423065134255839*sqrt(Abs(s)) ; 2.76226507400032*i + 0.968687579751334*r
1860,0.2080854344692338,-i**2*s - i**2 + Abs(i)**(3/2) ; B0 + B1*i + B1*sqrt(Abs(i)),-i**2*s - i**2 + Abs(i)**(3/2) ; -0.153599065854904*i - 0.153599065854904*sqrt(Abs(i)) + 0.0267298357149443
1861,0.2073859617807168,B0*i + B0*sqrt(Abs(i + s)) ; B1*sqrt(Abs(i)),0.0285674549483074*i + 0.0285674549483074*sqrt(Abs(i + s)) ; 0.0582435610424112*sqrt(Abs(i))
1862,0.20673867255198158,B0*s + B1*i*s ; B2*i + 3*i**2 - i*r,-0.0523355671995295*i*s - 0.0024749213957433*s ; 3*i**2 - i*r - 1.22931330791289*i
1863,0.20669267795554697,B0 + 2*s ; B1*i + 2*i**2*r,2*s - 1.40483968158101 ; 2*i**2*r + 0.000833846995274002*i
1864,0.20665730086853415,i ; B0*i + B1*sqrt(Abs(i - 2*r)) + r,i ; 4.13303548342344*i + r - 1.54208362437149*sqrt(Abs(i - 2*r))
1865,0.20633167664179378,-i + Abs(i - sqrt(Abs(i)))**(1/4) ; B0 + B1*r,-i + Abs(i - sqrt(Abs(i)))**(1/4) ; 0.00683753685908293*r + 0.443133322778263
1866,0.20571516326420244,B0 + B1*sqrt(Abs(i)) + B2*s ; B3*i + B4*r,0.441676192020229*s - 0.109840111355762*sqrt(Abs(i)) - 0.261327443889566 ; 0.0148161509733168*i + 0.0182120200042534*r
1867,0.20545669655416032,-i + Abs(B0 + i)**(1/4) ; B1 + B2*sqrt(Abs(i - r)),-i + Abs(i - 0.380251369243379)**(1/4) ; 0.0998941213353335*sqrt(Abs(i - r)) + 0.17844753200239
1868,0.20487371962780307,B0 + B1*sqrt(Abs(i)) ; B2*Abs(r)**(1/4) + i,0.596541345202861*sqrt(Abs(i)) + 0.0187118947248322 ; i + 0.0598439862601786*Abs(r)**(1/4)
1869,0.20463178586963013,B0 + B1*s**3 - i ; i**2,-i + 0.151594606421104*s**3 + 0.326992329579142 ; i**2
1870,0.20370115049055185,B0 + s ; B2*Abs(B1 + i)**(1/4),s - 0.744922924481831 ; 0.00757019447354829*Abs(i - 0.236163069395759)**(1/4)
1871,0.20339049530363212,B0*s + i*s ; B1 + B2*i + B3*r,i*s - 0.0368246455212283*s ; 0.233713843295926*i + 0.0159070098799399*r - 0.0211874991019471
1872,0.20322837451202613,B0*sqrt(Abs(s)) ; B1*i + B2*i**2 + i**3,0.0351854940166598*sqrt(Abs(s)) ; i**3 - 0.0253616663720046*i**2 + 0.0747921254922592*i
1873,0.20316303288515475,s*sqrt(Abs(i**3 - i**2*s)) ; B0*i + B1*i**2 + B1*i*r,s*sqrt(Abs(i**3 - i**2*s)) ; -0.265300691059835*i**2 - 0.265300691059835*i*r + 0.284299479336549*i
1874,0.20301392298775903,sqrt(Abs(B0 + B1*s**2 + B2*i + B2*s)) ; i,sqrt(Abs(0.00308633249012158*i + 0.000911110825982071*s**2 + 0.00308633249012158*s - 0.0486903312465675)) ; i
1875,0.20296180650494705,B0*s - i*s ; B1*i**2,-i*s + 0.316136460363594*s ; 0.492506989782387*i**2
1876,0.2020372424819179,B0*s + B1*i*s ; B3*sqrt(Abs(B2 + r)),-0.143593572118616*i*s + 0.058296710054791*s ; 0.00421807333592612*sqrt(Abs(r + 9.75670933159836))
1877,0.20188467724731465,B0 + B1*i + B2*s ; B3 + 2*r,-2.7381962304127*i - 1.97497988375695*s + 2.18301086921592 ; 2*r + 0.0383890828125583
1878,0.20152207862774232,B0 + s**2 - 2*s ; B1 + B2*i,s**2 - 2*s + 0.468704956163175 ; 2.75035273728371*i + 62.9176080697815
1879,0.20150994642253153,B0 + i + s - sqrt(Abs(i)) ; B1 + i - 2*r,i + s - sqrt(Abs(i)) - 0.934770649197442 ; i - 2*r - 3.44057177315658
1880,0.2012725618679841,B0 + i + s ; B1*i + i*r,i + s - 0.23998786339909 ; i*r + 3.46379913427223*i
1881,0.20101353720740356,B0*i*s + B0*Abs(i)**(3/2) ; i*sqrt(Abs(-B1*sqrt(Abs(i)) + i + r)),0.811093903427826*i*s + 0.811093903427826*Abs(i)**(3/2) ; i*sqrt(Abs(i + r - 2.42024054611705*sqrt(Abs(i))))
1882,0.20077458967920597,B0 + B1*i*s ; B2 + B3*r + i,-0.0688299485955863*i*s + 0.0385000143428798 ; i + 0.108791525790506*r - 0.220526753263697
1883,0.20022007633828479,B0 + B1*sqrt(Abs(s)) ; B2 + i,0.0972403829835492 - 0.122249839463618*sqrt(Abs(s)) ; i - 0.283063432581524
1884,0.2000278146674536,B0 - sqrt(Abs(i - s)) ; B1 + B2*i,0.969326836101993 - sqrt(Abs(i - s)) ; 0.435265208355175*i - 0.0350565159146075
1885,0.19982799022493625,B0 + s ; B3*Abs(B1 + B2*r)**(1/4),s - 0.736790853134777 ; 0.00832498502110281*Abs(0.76474120802969*r - 0.0120154178411292)**(1/4)
1886,0.19949099742518261,B0 + Abs(s)**(3/4) ; B1 + B2*i,Abs(s)**(3/4) - 0.776664621680433 ; 0.0051041007352836 - 0.00647393402220274*i
1887,0.19933678805369404,B0 - i ; B1 + B2*r,1.7797401466071 - i ; 0.00298381683934641*r + 1.47710072698889
1888,0.19911005407443175,B0*sqrt(Abs(i*s - s**2)) + s ; B1 + B2*i,s - 0.999657467619507*sqrt(Abs(i*s - s**2)) ; 0.0860439935348864*i + 0.000971658223158206
1889,0.19878764831144363,B0*i**2 + B0*s + B0*Abs(i)**(3/2) ; B1*i + i*sqrt(Abs(i*r - r)),0.0212462021393985*i**2 + 0.0212462021393985*s + 0.0212462021393985*Abs(i)**(3/2) ; i*sqrt(Abs(i*r - r)) - 0.0218299849314199*i
1890,0.19850787354554805,B0 - i + s*sqrt(Abs(i)) ; B1*i + B2*r,-i + s*sqrt(Abs(i)) - 0.0826108718812828 ; 0.0314434956271174*i + 0.00499515442259666*r
1891,0.19842505657789383,B0 - i + s**2 ; B1 + B2*i,-i + s**2 - 0.284015416277246 ; 0.0102487591598999 - 0.0241280171573677*i
1892,0.19800167182989964,B0 + s**2 + s ; B1 + B2*r,s**2 + s - 1.2878118085601 ; 0.0113800789111053*r + 0.0024604605435864
1893,0.19753488083170673,Abs(i)**(1/8) ; B0 + B1*i + B2*r,Abs(i)**(1/8) ; 0.842555630294157*i + 0.00100547957101149*r + 0.624323645720654
1894,0.19630178095732556,B0*i ; B1*i*r - i,-0.0316977167947284*i ; -2.83106764774646*i*r - i
1895,0.19580923336980213,B0*s + s**2 ; B2*sqrt(Abs(B1 - r)),s**2 - 0.728578110788474*s ; 0.00989375921105771*sqrt(Abs(r + 0.0536111871108473))
1896,0.19578131204954918,B0*s + s**2 ; B2*sqrt(Abs(B1 + i)),s**2 - 0.723505522630582*s ; 0.00979682760846448*sqrt(Abs(i - 0.32870518562739))
1897,0.19578131204951713,B0*s + s**2 ; B2*sqrt(Abs(B1 - i)),s**2 - 0.723505535172333*s ; 0.00979683226745789*sqrt(Abs(i - 0.328705028302425))
1898,0.19575245169257802,B1*sqrt(Abs(B0 + i)) ; B2 - r + sqrt(Abs(r)),-0.0115481218533572*sqrt(Abs(i - 0.267861752522277)) ; -r + sqrt(Abs(r)) - 0.729051734481365
1899,0.1952509554171273,B0*i + B0*sqrt(Abs(s)) ; B1*i,0.0265240302020236*i + 0.0265240302020236*sqrt(Abs(s)) ; 0.119967362162269*i
1900,0.1951608035940193,B0*s + s**2 ; B2*sqrt(Abs(B1 + i + r)),s**2 - 0.681713843981592*s ; 0.0420478953012948*sqrt(Abs(i + r - 0.307764742083347))
1901,0.19513834852827125,i**2 - i*s**2 + s ; B0*i + B1*i**2 + B2*i*sqrt(Abs(r)),i**2 - i*s**2 + s ; 0.468432065747956*i**2 + 0.0172179830749092*i*sqrt(Abs(r)) + 2.53616287765328*i
1902,0.19500689657496295,B0*s + B1*s**2 ; B2*i**2,0.14454880038659*s**2 - 0.0739578483107966*s ; 0.227675844060557*i**2
1903,0.1946037630825906,B0 - i*s - i + s ; B1 + B2*i**2,-i*s - i + s - 0.299846262385227 ; 0.0124152974509919 - 0.0793839794622571*i**2
1904,0.1945267409524872,B0 + sqrt(Abs(s)) ; B1*r + B1*sqrt(Abs(r - sqrt(Abs(i)))),sqrt(Abs(s)) - 0.828934947999281 ; 0.00702122357713081*r + 0.00702122357713081*sqrt(Abs(r - sqrt(Abs(i))))
1905,0.19414826747763306,B0 + s + sqrt(Abs(-i*s + i + s)) ; B1 + B2*r,s + sqrt(Abs(-i*s + i + s)) + 8.4998355029296e-5 ; 1.51584577877383 - 1.5131027877563*r
1906,0.19382349892902942,B0*s + s**2 ; B2*sqrt(Abs(B1 + 2*i)),s**2 - 0.723505616553464*s ; 0.0069274116813064*sqrt(Abs(2*i - 0.657409340653998))
1907,0.1938038156309138,B0*s - 2*i ; B2*sqrt(Abs(B1 + i)) - i,-2*i - 0.00563473292110464*s ; -i - 0.531900866320012*sqrt(Abs(i + 0.0413438175595663))
1908,0.19379458454400603,B0*s + s**2 ; B2*sqrt(Abs(B1*i + r)),s**2 - 0.730253630879319*s ; 0.01087345619361*sqrt(Abs(0.167074194693192*i + r))
1909,0.1936527307681731,B0*s + s**2 ; B1 + B2*i,s**2 - 0.711450214556369*s ; 0.00507311441615025 - 0.00597019445544034*i
1910,0.19361901014767946,B0*s + s**2 ; B1 + B2*r,s**2 - 0.713362628270963*s ; 0.00594831976598017*r + 0.00336369665308482
1911,0.19360097725771605,i*sqrt(Abs(i - s*sqrt(Abs(i)))) ; B0*i + B1*i**2 + i*r,i*sqrt(Abs(i - s*sqrt(Abs(i)))) ; -1.84803543150598*i**2 + i*r + 0.271797146314262*i
1912,0.19320559268118911,B0*s + s**2 ; B1*r + B1*sqrt(Abs(i)),s**2 - 0.692907106877234*s ; 0.00843258040983915*r + 0.00843258040983915*sqrt(Abs(i))
1913,0.19283554580832402,B0 - i*s - i + s ; B1 + B2*r,-i*s - i + s - 0.277714846705553 ; 0.00473203033172593*r + 0.00869528249026094
1914,0.1926883564849554,B0*s + i*s + s*sqrt(Abs(i)) ; i**2*sqrt(Abs(B1 - r)),i*s + s*sqrt(Abs(i)) + 1.58186919462061*s ; i**2*sqrt(Abs(r - 0.772241348351934))
