rank,reward,equations,equations_with_constants
3934,0.027616918112575006,B0 + sqrt(Abs(i - s)) ; B1*i*r**2 - i*r,sqrt(Abs(i - s)) - 0.867692149038287 ; 38.1619357243837*i*r**2 - i*r
3935,0.027612910550157146,B0*s**2 + B1*i*s ; r*sqrt(Abs(B2*r**2 + r**3)),-0.367499682197588*i*s + 0.052958891937136*s**2 ; r*sqrt(Abs(r**3 + 0.0111991197464929*r**2))
3936,0.027610288241905236,B0 + B1*i ; B2 + sqrt(Abs(r + sqrt(Abs(B3*i + i*r)))),309.866777929239 - 1.33845054133449*i ; sqrt(Abs(r + sqrt(Abs(i*r - 99.9938021288356*i)))) + 299.698492510607
3937,0.027604065160231162,B1*Abs(B0 - i*s)**(1/4) ; i + sqrt(Abs(B2*i + i**2)),0.0839053079216284*Abs(i*s - 63.3714549852028)**(1/4) ; i + sqrt(Abs(i**2 - 0.0157075332621591*i))
3938,0.02760355488227654,B0*s + B2*sqrt(Abs(B1*s + i**2*s)) ; B3 + i - r,0.502329034230947*s + 0.00949602331865733*sqrt(Abs(i**2*s + 0.234141861498205*s)) ; i - r + 0.746004621743665
3939,0.02758585337243646,B0*i + B2*sqrt(Abs(B1*i + i*s)) ; B3*i*r + i**2*r - i*r**2,-0.0109037189063636*i + 0.263679111290113*sqrt(Abs(i*s - 0.873596521065359*i)) ; i**2*r - i*r**2 + 0.0470699890405089*i*r
3940,0.027572435206210444,-i + s + Abs(i)**(3/2) ; B0 + B1*i*Abs(r)**(1/4),-i + s + Abs(i)**(3/2) ; 2.3722683767113*i*Abs(r)**(1/4) - 0.323151701941516
3941,0.027572281073646565,B0*i + B1*sqrt(Abs(s)) ; B2*r + B3*r**2 + B4*i*r,-3.05255110117325*i + 3.75492044979517*sqrt(Abs(s)) ; 0.278292950110629*i*r + 0.169120425311495*r**2 + 0.000613630975752851*r
3942,0.027568974294640027,B0*s ; i**2*Abs(B1 + i)**(1/4) - i*r,0.161576440717897*s ; i**2*Abs(i + 3531.18191825739)**(1/4) - i*r
3943,0.0275604206208186,B1*s*sqrt(Abs(B0 - s)) ; B2*i*r + B2*r + B3*r**2,1.41934407997393*s*sqrt(Abs(s - 3.84116276148089)) ; 0.000680239773938796*i*r + 0.000205340083761028*r**2 + 0.000680239773938796*r
3944,0.027544802242406543,B0 + i + s ; B1*i + B2*i*r + r,i + s - 1.40109578146465 ; 5.03795122901688*i*r + 5.2667887582215*i + r
3945,0.027533574527469046,s**2 ; B0*i + B1*r,s**2 ; 1.80572481750209*i - 0.263172289929856*r
3946,0.027518812027105263,s ; B0 + B1*i + B1*sqrt(Abs(i)) + r,s ; 1.92148983414279*i + r + 1.92148983414279*sqrt(Abs(i)) - 2.14936805226089
3947,0.02751754222214662,B0 + i*s + i + s ; B1 + 2*i,i*s + i + s - 1.30095718634041 ; 2*i - 0.244672076986555
