rank,reward,equations,equations_with_constants
1304,0.87898303602853,B0*Abs(i)**(1/4) ; B1*i - i*r,0.0437398801344418*Abs(i)**(1/4) ; -i*r + 3.42334034883725*i
1305,0.8789450108260735,B0*i*s + B0*s ; B1 + B2*i*sqrt(Abs(r)) + r,-0.00111996347936093*i*s - 0.00111996347936093*s ; 0.100462532295634*i*sqrt(Abs(r)) + r + 0.299997240537608
1306,0.8788871108637833,B0*i ; B1 + r,0.000132938190315315*i ; r - 15.3775549188823
1307,0.8788870872128801,B0*i ; B1 - i,0.000132938565056101*i ; -i - 15.3772520217322
1308,0.8788700320412086,B0*Abs(s)**(1/4) ; B1 - i,0.0214375031797587*Abs(s)**(1/4) ; 0.0118735145611973 - i
1309,0.8788615275924211,B0*Abs(s)**(1/4) ; B1*i*r,0.0217940533077598*Abs(s)**(1/4) ; 0.0159232119336857*i*r
1310,0.878860965307444,B0*Abs(s)**(1/4) ; B1*sqrt(Abs(r)),0.0215943240422491*Abs(s)**(1/4) ; 0.0250994785041074*sqrt(Abs(r))
1311,0.8788586450900174,B0*Abs(s)**(1/4) ; B1 + i,0.0217978272890818*Abs(s)**(1/4) ; i + 0.00270251982559999
1312,0.8788484582038381,B0*i*s ; sqrt(Abs(i + r - sqrt(Abs(i))*sqrt(Abs(r)))),-0.00351685118563015*i*s ; sqrt(Abs(i + r - sqrt(Abs(i))*sqrt(Abs(r))))
1313,0.8788480668666184,B0*Abs(s)**(1/4) ; -r + sqrt(Abs(r)),0.0212406427103358*Abs(s)**(1/4) ; -r + sqrt(Abs(r))
1314,0.8788406835944068,B0*i + B1*s ; Abs(i)**(1/4),-1.01773926703712e-5*i + 0.047817372633715*s ; Abs(i)**(1/4)
1315,0.8788350279915521,B0*Abs(s)**(1/4) ; Abs(r)**(1/4),0.021088900801214*Abs(s)**(1/4) ; Abs(r)**(1/4)
1316,0.8788278639804036,B0*s ; B1*i + i*r,0.0474977354113965*s ; i*r + 0.000883655097815872*i
1317,0.8788278639796153,B0*s ; B1*r**2 + i,0.0474976592563266*s ; i + 1.959726021337*r**2
1318,0.8788278639771261,B0*s ; B1 + 2*i + r,2.71902970016928*s ; 2*i + r + 0.000466194337703637
1319,0.8788278639739546,B0*s ; B1 + B2*r + i,0.047498632590291*s ; i + 0.00316667270366295*r + 1.43775858344966
1320,0.8788278639732292,B0*s ; B1*i*r - r,0.0474973061757836*s ; 0.0479294474152765*i*r - r
1321,0.878827863971865,B0*s ; B1*i**2 + r,0.0474987166164803*s ; 0.106631266868522*i**2 + r
1322,0.8788278639696682,B0*s ; B1 - i**2*r,0.0474971734973362*s ; -i**2*r + 0.00440292843275415
1323,0.8788278639684101,B0*s ; r + sqrt(Abs(B1 + sqrt(Abs(r)))),2.71903059052193*s ; r + sqrt(sqrt(Abs(r)) + 49.8699450213681)
1324,0.8788278639654852,B0*s ; B1 - i + 2*r,0.04749704118686*s ; -i + 2*r + 93.5193139693102
1325,0.8788278639619977,B0*s ; B1 + B2*i - r,0.0474969436588762*s ; 11.0077131914143*i - r + 25.198168062337
1326,0.8788278639619472,B0*s ; B1 - i - Abs(i)**(3/2),0.0474990268046721*s ; -i - Abs(i)**(3/2) + 0.00160043667466642
1327,0.8788278639516092,B0*s ; B1*i - i*r,0.0474992729615377*s ; -i*r + 0.000773546229505017*i
1328,0.8788278639328057,B0*s ; B1*i + B2*r,0.0474996287812831*s ; 5.45798857319308*i + 0.973182478697215*r
1329,0.8788278638240413,B0*s ; r*Abs(B1 + r)**(1/4),2.71902807273097*s ; r*Abs(r + 0.00586611722169531)**(1/4)
1330,0.8788278637956275,B0*s ; sqrt(Abs(-B1 + r + sqrt(2)*sqrt(Abs(r)))),0.0474947727540636*s ; sqrt(Abs(r + sqrt(2)*sqrt(Abs(r)) - 11.1274546419034))
1331,0.8788278637748173,B0*s ; B1 + 2*i - r,0.0474945977503366*s ; 2*i - r + 0.000278410006681344
1332,0.8788278637213819,B0*s ; B1 + i*r + r,0.0474941851300774*s ; i*r + r + 0.00194395235347197
1333,0.8788278637112737,B0*s ; B1 + i*r**2,0.0474941120188301*s ; i*r**2 + 0.0334826224173441
1334,0.8788278636635316,B0*s ; B1 + B2*r**2,0.0475021853881837*s ; 3.32994738380921*r**2 + 0.228092090093501
1335,0.8788278636439282,B0*s ; sqrt(Abs(B1 + r + sqrt(Abs(i)))),0.0475023129395145*s ; sqrt(Abs(r + sqrt(Abs(i)) + 0.41393940157034))
1336,0.8788278636054717,B0*s ; B1 + B2*r - i,0.0475025528279771*s ; -i + 0.426772942073462*r + 0.608209755103235
1337,0.8788278632701254,B0*s ; sqrt(Abs(B1*sqrt(Abs(i)) + r)),0.0474917015774029*s ; sqrt(Abs(r + 0.00737598638576413*sqrt(Abs(i))))
1338,0.8788278632352884,B0*s ; B1 - r - Abs(i)**(3/2),0.0474915495818656*s ; -r - Abs(i)**(3/2) + 0.0118396426444276
1339,0.8788278630351198,B0*s ; B1 - i - 2*r,0.0474907377641955*s ; -i - 2*r + 0.0283162326436934
1340,0.8788278629300357,B0*s ; B1 + 3*i,0.0474903460391187*s ; 3*i + 13.1188472076352
1341,0.8788278628008921,B0*s ; B1 - i*r + i,0.0475060790962489*s ; -i*r + i + 0.0295820153423741
1342,0.8788278625747128,B0*s ; B1*i - 2*r,0.047489149228532*s ; 0.0182027116816599*i - 2*r
1343,0.8788278624357211,B0*s ; B1 + i + 2*r,0.0474887230620245*s ; i + 2*r + 0.350757844666074
1344,0.8788277520444466,B0*s ; i**2 + i - r,0.0475768250784657*s ; i**2 + i - r
1345,0.8788277492047545,B0*s ; i*r + i + r,0.0475778191824062*s ; i*r + i + r
1346,0.8788277446121424,B0*s ; 2*r + Abs(i)**(3/2),0.0474166226580071*s ; 2*r + Abs(i)**(3/2)
1347,0.8788277424914702,B0*s ; (sqrt(Abs(i)) + sqrt(Abs(r)))**(1/4),0.0475801215490509*s ; (sqrt(Abs(i)) + sqrt(Abs(r)))**(1/4)
1348,0.8788277390487094,B0*s ; i*r - Abs(i)**(3/2),0.0475812776084346*s ; i*r - Abs(i)**(3/2)
1349,0.8788277280718455,B0*s ; i*Abs(r)**(1/8),0.0474111705108627*s ; i*Abs(r)**(1/8)
1350,0.8788277255085228,B0*s ; sqrt(Abs(sqrt(2)*i*sqrt(Abs(r)) + r)),0.0475856767580443*s ; sqrt(Abs(sqrt(2)*i*sqrt(Abs(r)) + r))
1351,0.8788277206479471,B0*s ; i*Abs(r)**(5/2),0.0474088318423838*s ; i*Abs(r)**(5/2)
1352,0.878821248197324,B0*i + B2*sqrt(Abs(B1 + i)) ; sqrt(Abs(r)),-0.219322649897758*i + 0.235909548291702*sqrt(Abs(i - 0.032341390842676)) ; sqrt(Abs(r))
1353,0.8787805161231994,B0 - i ; B1*i,0.0275411804005887 - i ; 0.914081821414299*i
1354,0.8787784433191572,B0 - i ; i,0.0263256012407797 - i ; i
1355,0.8787772460576577,B0*Abs(s)**(1/4) ; r,0.0221665609248064*Abs(s)**(1/4) ; r
1356,0.8787749084411722,sqrt(2)*i*Abs(s)**(5/2) ; B0 - r - Abs(B1 + i)**(1/4),sqrt(2)*i*Abs(s)**(5/2) ; -r - Abs(i - 0.272928421407891)**(1/4) + 0.762526962661586
1357,0.8787553374725757,B0*i + B1*i*sqrt(Abs(s)) ; B2*i**2 + i + sqrt(Abs(i)),-0.0568818886238712*i*sqrt(Abs(s)) + 0.00388694363158801*i ; 0.15201945688509*i**2 + i + sqrt(Abs(i))
1358,0.8787493738318555,s*sqrt(Abs(B0*i + i**2)) ; B1*i,s*sqrt(Abs(i**2 - 0.0153332067450885*i)) ; 0.460522497166842*i
1359,0.8786998831576539,B0*i ; B1 + i,-0.136075358408918*i ; i + 0.110636572409311
1360,0.8786975248725369,B0 + B1*i ; B2*i + B3*i**2,0.0435887408106576 - 0.00042816152632018*i ; 0.00274271533638475*i**2 - 0.27425918535048*i
1361,0.8786741471946791,B0*i + B0*s ; i - r,0.0460585966613865*i + 0.0460585966613865*s ; i - r
1362,0.8786648706750567,sqrt(Abs(B0*i + B1*s)) ; B2 + B3*r,sqrt(Abs(9.42382323753832e-5*i + 0.00233033657114848*s)) ; 0.00159388199150972*r - 0.00861092983465823
1363,0.8786348588413659,B1*s*Abs(B0 + s)**(1/4) ; B2*sqrt(Abs(r)),0.0868948184154138*s*Abs(s - 0.949664218744803)**(1/4) ; 1.71423952488513*sqrt(Abs(r))
1364,0.8786312306952991,i**2 ; B0 + i,i**2 ; i + 0.12849760126382
1365,0.8786299654190639,B0*i ; B1*r + B3*sqrt(Abs(B2 + r)),-0.114510352928232*i ; -0.0025118974707579*r + 0.115839761283487*sqrt(Abs(r - 0.95958325834152))
1366,0.8786191641283497,B0*s*sqrt(Abs(i - sqrt(Abs(s)))) ; B1*i,0.00623041549388482*s*sqrt(Abs(i - sqrt(Abs(s)))) ; 4.90205120516213*i
