rank,reward,equations,equations_with_constants
1,0.9260546839350993,B0*i*s ; B1 + B2*r,0.237430385980856*i*s ; -1.39153782074891*r - 0.0329605781132564
30,0.916044001540604,B0*i*sqrt(Abs(s)) ; B1*i,0.53872997037039*i*sqrt(Abs(s)) ; 0.324172038332434*i
31,0.9155862447261461,-i*s ; B0 + B1*r,-i*s ; 0.0122917851662486*r + 0.0425196610403578
32,0.915258799405636,B0*i ; B1 + B2*r,-0.117849452497979*i ; 0.126740127448696 - 0.114060203997238*r
33,0.9144156860252062,B0*i*s ; B1 + r,0.000865263271221202*i*s ; r - 0.013713689036834
34,0.9142522417664747,B0*i*s ; sqrt(Abs(i - 2*r)),-0.00107855760908785*i*s ; sqrt(Abs(i - 2*r))
35,0.91391813605964,B0*i*s ; B1 - i,0.00083634825405566*i*s ; -i - 0.000504988705307259
36,0.9139122433777626,B0*i*s ; -i,0.000838727895181522*i*s ; -i
37,0.9136809926845453,B0*s*sqrt(Abs(i)) ; sqrt(Abs(i)),0.0150039754965168*s*sqrt(Abs(i)) ; sqrt(Abs(i))
38,0.9107356481385587,B0*i*sqrt(Abs(s)) ; Abs(i)**(3/2),0.486414696058009*i*sqrt(Abs(s)) ; Abs(i)**(3/2)
39,0.9106206504159956,B0*i*s ; B1 - i + r,0.00068265347399632*i*s ; -i + r + 0.0141889140036685
40,0.9105479189819958,B0 + i**2 ; B1 + B2*r,i**2 - 0.00316262958391212 ; 0.0750191961250948 - 0.0646174990689092*r
41,0.9104347892327594,i**2 ; B0 + B1*r,i**2 ; 0.0748843515062534 - 0.0651766514925766*r
42,0.9101215113865575,B0*s ; B1*i,0.0431661661963472*s ; 0.459107602645573*i
43,0.9101215113571006,B0*s ; B1 - r,0.0431668845092761*s ; 0.000627599131237858 - r
44,0.9101215112707217,B0*s ; B1 + r,0.0431629599287741*s ; r + 0.0417470693384139
45,0.9101215111830009,B0*s ; B1*Abs(i)**(3/4),0.0431621920708459*s ; 1.45490086449303*Abs(i)**(3/4)
46,0.9101215110847168,B0*s ; B1 + i,0.0431694602731244*s ; i + 0.000961509921829273
47,0.9101215103405729,B0*s ; B1 - i,0.0431581552313613*s ; 0.120477687280363 - i
48,0.9101214999582113,B0*s ; B1*r,0.0431896076398404*s ; 42.1225375155033*r
49,0.9101214367842245,B0*s ; Abs(r)**(3/4),2.72185329226502*s ; Abs(r)**(3/4)
50,0.9101214354003175,B0*s ; sqrt(2)*sqrt(Abs(r)),0.0432276792860585*s ; sqrt(2)*sqrt(Abs(r))
51,0.9101214347025648,B0*s ; Abs(r)**(9/16),0.0431030313628613*s ; Abs(r)**(9/16)
52,0.9101214319262462,B0*s ; Abs(i)**(3/4),2.72185198638072*s ; Abs(i)**(3/4)
53,0.9101214315779321,B0*s ; i,2.72185189430313*s ; i
54,0.9101214281903849,B0*s ; -i + r,0.0431004346438944*s ; -i + r
55,0.9101214262812687,B0*s ; i**2,0.0432313062176581*s ; i**2
56,0.9101214253846727,B0*s ; Abs(r)**(3/2),2.72193776265594*s ; Abs(r)**(3/2)
57,0.910121421320377,B0*s ; Abs(i)**(1/4),0.0430978032305056*s ; Abs(i)**(1/4)
58,0.9101214210269422,B0*s ; r*Abs(i)**(3/4),0.0432333080813878*s ; r*Abs(i)**(3/4)
59,0.9101214202963089,B0*s ; -r**2,0.0432335817913359*s ; -r**2
60,0.9101214163365672,B0*s ; i + r,0.0432350464739352*s ; i + r
61,0.9101214138819115,B0*s ; sqrt(2)*r,0.0430950649554971*s ; sqrt(2)*r
62,0.9101214138503774,B0*s ; i - r,0.0432359505559885*s ; i - r
63,0.9101214100769819,B0*s ; sqrt(Abs(r)),0.0432373009962684*s ; sqrt(Abs(r))
64,0.9101214057519466,B0*s ; r,0.043238818305902*s ; r
65,0.9101213903684595,B0*s ; r**2,0.0432439780196511*s ; r**2
66,0.910121385864309,B0*s ; Abs(i)**(3/2),0.0430855897841757*s ; Abs(i)**(3/2)
67,0.910121384649326,B0*s ; Abs(i)**(7/4),0.0432458118627615*s ; Abs(i)**(7/4)
68,0.9101213701974415,B0*s ; 2*i,0.0432502694678382*s ; 2*i
69,0.9101213639718693,B0*s ; 2*r,0.043252119129624*s ; 2*r
70,0.9101213615886227,B0*s ; i*r,0.0432528168517818*s ; i*r
71,0.9101213588489829,B0*s ; Abs(r)**(1/4),0.0432536120947417*s ; Abs(r)**(1/4)
72,0.9101213588489829,B0*s ; sqrt(Abs(i)),0.0432536120947417*s ; sqrt(Abs(i))
73,0.9099263892692233,B0*s*sqrt(Abs(i)) ; B1 + r,0.0098477688543703*s*sqrt(Abs(i)) ; r - 0.00489248513148515
74,0.9097880355857093,B0*i*s ; B1 - 2*i,0.00066659392980463*i*s ; 0.0288524797569365 - 2*i
75,0.9097058737449728,B0 + B1*i ; B2 + B3*r,0.0381868259698842 - 0.000371797912826087*i ; 0.316079108488931*r - 0.00629161171750259
76,0.9080175968520087,B0 + B1*i ; B2 + sqrt(Abs(r)),0.000392913302505589*i + 0.0423003989071861 ; sqrt(Abs(r)) - 0.18992748450061
77,0.9080155079951973,B0 + B1*i ; sqrt(Abs(i + sqrt(Abs(r)))),0.000414455938521225*i + 0.0427103586673412 ; sqrt(Abs(i + sqrt(Abs(r))))
78,0.908007316137512,B0*i*s ; B1 + B2*i*r,-0.00136227237613675*i*s ; -0.00253120913074587*i*r + 3.50165620590063
79,0.9079525854843552,B0*s*sqrt(Abs(i)) ; i + 2*r,0.00850204668127997*s*sqrt(Abs(i)) ; i + 2*r
80,0.9076374645904962,B0*i*s ; B1 + B2*r - i,0.00134957964786269*i*s ; -i - 0.865965288457185*r - 2.46802383326225
81,0.9075806943672765,B0*i*s ; B1 + B2*i + r,0.00134851914265704*i*s ; 0.858387986137835*i + r - 2.48519197859699
82,0.9075408481775099,B0 + B1*i*s ; i - r,0.449644253653766*i*s + 0.00306494398607036 ; i - r
83,0.9074857227732334,B0*i + i*s ; B1*i + B2*r,i*s - 0.034979131797641*i ; 2.21342346144036*i - 0.651493597886959*r
84,0.9074371527210382,B0 + B1*i*s ; r,0.234948700149368*i*s + 0.0047093576859338 ; r
85,0.9074190730918725,B0*i*s ; -i - sqrt(Abs(r)),0.00062794800231832*i*s ; -i - sqrt(Abs(r))
86,0.9071735363254759,B0*s*sqrt(Abs(i)) ; B1 + r + sqrt(Abs(r)),0.00839616393325108*s*sqrt(Abs(i)) ; r + sqrt(Abs(r)) - 0.148915830611506
87,0.9070759751847773,B0 + B1*i*s ; sqrt(Abs(B2 + r + sqrt(Abs(i)))),-0.00144148317286686*i*s + 0.00192504686992557 ; sqrt(Abs(r + sqrt(Abs(i)) + 3.44766984933433))
88,0.9070043414965172,B0*i*s ; B1 + 2*i + r,-0.279942696636872*i*s ; 2*i + r + 0.0580349521424793
89,0.9069867260209322,B0*i*s ; B1*i - i*r,0.171180952559847*i*s ; -i*r - 0.237291918639586*i
90,0.9069685289819887,B0*i ; B1*i,2.15756330431558*i ; 2.19742824724081*i
91,0.9069636249333515,B0*i*Abs(s)**(3/2) ; r,0.314501990440124*i*Abs(s)**(3/2) ; r
92,0.906963624435839,B0*i*Abs(s)**(3/2) ; B1*i*r**2,0.314493934816019*i*Abs(s)**(3/2) ; 89.5986732061735*i*r**2
93,0.9068056092757006,B0*i*s**2 ; B1 + B2*r,-0.028426877241061*i*s**2 ; 0.195160569320167*r + 0.128192162252043
94,0.9067999264503541,B0*i*s ; sqrt(Abs(-i + r + sqrt(Abs(i)))),-0.00123064467861159*i*s ; sqrt(Abs(-i + r + sqrt(Abs(i))))
95,0.9066932602321578,B0*i ; 2*i,1.96305450588059*i ; 2*i
96,0.906449986748661,B0 + B1*s ; B2*i - r,2.75147101163397*s - 64.0352221361224 ; 0.092883251464369*i - r
97,0.9062812373013844,B0*s*sqrt(Abs(i)) ; 2*r,0.111557845630361*s*sqrt(Abs(i)) ; 2*r
98,0.9062812275198677,B0*s*sqrt(Abs(i)) ; r,0.111416362454314*s*sqrt(Abs(i)) ; r
99,0.9062812215090447,B0*s*sqrt(Abs(i)) ; r**2,0.111411939241179*s*sqrt(Abs(i)) ; r**2
100,0.9062580305152655,B0*s*Abs(i)**(1/4) ; B1 + 2*r,0.0430079647139817*s*Abs(i)**(1/4) ; 2*r - 1.89334895386299e-8
101,0.9062461365109028,B0 + B1*i*s ; B2 - i - r,0.0146811963214823*i*s - 0.00173915827914071 ; -i - r - 0.39768721358741
102,0.9061406882844378,B0*i**2*s ; B1 + B2*i,3.81658137601436e-5*i**2*s ; 0.0654480863485988*i + 6.17506066815256
103,0.9058590263071299,B0*i + Abs(i)**(3/2) ; B1*i + B2*r,-0.265847988789921*i + Abs(i)**(3/2) ; 2.43422633438449*i - 0.226861796732612*r
104,0.9058142688222448,B0 + B1*i ; B2 + B3*sqrt(Abs(r)),-0.112723690803672*i - 0.0256460505877384 ; 0.294415811413267 - 0.257333271766899*sqrt(Abs(r))
105,0.9056855601442556,B0*s*Abs(i)**(1/4) ; B1*i,0.0361394775346513*s*Abs(i)**(1/4) ; -0.560583083672909*i
106,0.9055956951715045,B0*sqrt(Abs(i)) ; B1 + B2*i*r,0.0971073008876605*sqrt(Abs(i)) ; 0.828015541767658*i*r + 0.00363419778154465
107,0.9055824996788024,B0*i*s ; B1*sqrt(Abs(i))*sqrt(Abs(r)),0.289089746100059*i*s ; 0.0234363042343191*sqrt(Abs(i))*sqrt(Abs(r))
108,0.90553832431818,B0*i*s ; B1*i + i*r,0.286238888595428*i*s ; i*r + 1.2429145358214e-9*i
109,0.9051381229629535,B0 + i ; B1 + i,i + 0.0158703195873376 ; i + 0.0164400786008284
110,0.9050886904026247,B0 + B1*i ; sqrt(Abs(B2 + i)),0.000445417507094142*i + 0.0468430138127799 ; sqrt(Abs(i + 13.6888678387345))
111,0.9050306541510245,B0*sqrt(Abs(i)) ; B1 - r,0.0350349428788831*sqrt(Abs(i)) ; 1.09913408491264 - r
112,0.9049688467182764,B0*i**2*s ; sqrt(Abs(B1 + r + sqrt(2)*sqrt(Abs(i)))),1.20738103062367e-5*i**2*s ; sqrt(Abs(r + sqrt(2)*sqrt(Abs(i)) + 20.1849013505051))
113,0.9049266834831463,B0*i*s ; sqrt(Abs(B1 + sqrt(Abs(B2 + i)))),-0.00129427278378252*i*s ; sqrt(Abs(sqrt(Abs(i + 72.9045570223385)) - 39.382834337712))
114,0.9047000897344465,B0*i + B1*s ; B2 + B3*i**2,-2.32237710674829*i + 0.314541605162306*s ; 0.729800831184045*i**2 - 0.000662349996611398
115,0.9045159644139761,B0*s*Abs(i)**(1/4) ; B1 + i + 2*r,0.0341114704613654*s*Abs(i)**(1/4) ; i + 2*r - 0.0295248854024317
116,0.904454806659959,B0 + B1*s ; Abs(r)**(1/4),2.75159599771232*s - 64.2968519233805 ; Abs(r)**(1/4)
117,0.9043542927232903,B0*i + B1*s ; B2*i + i*r,0.168722775255772*i + 0.00739977564848671*s ; i*r + 0.0153635881443434*i
118,0.9042493416401851,B0 + B1*i ; B2*i + i*r,0.24042681831335*i + 0.00231646335792979 ; i*r + 0.0435633070341222*i
119,0.904070454140923,B0 + B1*i*s ; sqrt(Abs(B2 - r)),-0.00424152256737673*i*s + 0.0093989529074617 ; sqrt(Abs(r - 4.31268065095))
120,0.9039153142509957,B0*i**2*s ; B1 + Abs(i)**(3/2),3.9451943626592*i**2*s ; Abs(i)**(3/2) - 0.0101314945521603
121,0.903807735945699,B0*i ; B1 + B2*sqrt(Abs(r)),-0.105283239278037*i ; 0.222386783898985 - 0.209515332955011*sqrt(Abs(r))
122,0.903518652868149,B0*i*s ; B1 + i,-1.43844718849958*i*s ; i + 0.0771667544344543
123,0.9034571419181543,B0*i*s ; B1 + r - sqrt(Abs(r)),0.000751914057553071*i*s ; r - sqrt(Abs(r)) + 0.148867941110073
124,0.9032145038173897,B0*i**2*s ; sqrt(Abs(B1 - i + r)),1.12918992444858e-5*i**2*s ; sqrt(Abs(-i + r + 8.65211646774315))
125,0.9031617992117115,B0*i*s**2 ; sqrt(2)*sqrt(Abs(i)),-0.00186840072954071*i*s**2 ; sqrt(2)*sqrt(Abs(i))
126,0.9028698356145358,B0*i*s**2 ; B1*r,0.334650852345801*i*s**2 ; 0.238589256081138*r
127,0.9028698250345427,B0*i*s**2 ; r,0.334739678040958*i*s**2 ; r
128,0.9028698239614729,B0*i*s**2 ; sqrt(Abs(i))*sqrt(Abs(r)),0.334743989918588*i*s**2 ; sqrt(Abs(i))*sqrt(Abs(r))
129,0.9028698225652758,B0*i*s**2 ; i*r,0.334555758058996*i*s**2 ; i*r
130,0.9026783499021598,B0*i ; B1*i + i*r,0.296507142035005*i ; i*r + 0.0694270389654749*i
131,0.9025654601624041,B0*sqrt(Abs(s)) ; B1*i,0.0328771043418528*sqrt(Abs(s)) ; 0.00224905485639946*i
132,0.9025654569040613,B0*sqrt(Abs(s)) ; sqrt(Abs(i)),0.0328771042446394*sqrt(Abs(s)) ; sqrt(Abs(i))
133,0.9025654123182383,B0*sqrt(Abs(s)) ; B1*sqrt(Abs(r)),0.0328771027554034*sqrt(Abs(s)) ; 1.65749343433562*sqrt(Abs(r))
134,0.9025653461502677,B0*sqrt(Abs(s)) ; B1 + sqrt(Abs(r)),0.0328770999911479*sqrt(Abs(s)) ; sqrt(Abs(r)) + 0.47783776981075
135,0.9025653178130375,B0*sqrt(Abs(s)) ; i + r,0.0328770986012655*sqrt(Abs(s)) ; i + r
136,0.9025652452765371,B0*sqrt(Abs(s)) ; sqrt(Abs(r)),0.0328770944686324*sqrt(Abs(s)) ; sqrt(Abs(r))
137,0.9025639115388974,B0*sqrt(Abs(s)) ; i,0.0328773054848473*sqrt(Abs(s)) ; i
138,0.9025638336280968,B0*sqrt(Abs(s)) ; B1 + r,0.0328768136663636*sqrt(Abs(s)) ; r + 0.00072267725184788
139,0.9025624497880655,B0*sqrt(Abs(s)) ; B1 - i,0.0334385632229172*sqrt(Abs(s)) ; 0.0225494935752146 - i
140,0.9025612826624908,B0*sqrt(Abs(s)) ; B1*r,0.0328722544077432*sqrt(Abs(s)) ; 0.000539738653924533*r
141,0.9025612373625891,B0*sqrt(Abs(s)) ; r,0.0328709402571216*sqrt(Abs(s)) ; r
142,0.9025609315808466,B0*sqrt(Abs(s)) ; Abs(r)**(3/2),0.03341722235723*sqrt(Abs(s)) ; Abs(r)**(3/2)
143,0.9025608159218316,B0*sqrt(Abs(s)) ; B1 - sqrt(Abs(i)),0.033417227932695*sqrt(Abs(s)) ; 0.00451641907449294 - sqrt(Abs(i))
144,0.9025606223018481,B0*sqrt(Abs(s)) ; i*r,0.0334171966921708*sqrt(Abs(s)) ; i*r
145,0.9025602070446395,B0*sqrt(Abs(s)) ; sqrt(Abs(B1 + r)),0.0334170986433462*sqrt(Abs(s)) ; sqrt(Abs(r + 16.4994053233731))
146,0.9025587307603912,B0*sqrt(Abs(s)) ; B1 + i,0.0328991690750718*sqrt(Abs(s)) ; i + 0.625701371547715
147,0.9025576448643287,B0*sqrt(Abs(s)) ; B1*Abs(i)**(3/4),0.0334292654928158*sqrt(Abs(s)) ; 0.00014427143407033*Abs(i)**(3/4)
148,0.9025554540558648,B0*sqrt(Abs(s)) ; i + sqrt(Abs(i)),0.0334065664259208*sqrt(Abs(s)) ; i + sqrt(Abs(i))
149,0.9025483677097834,B0*sqrt(Abs(s)) ; Abs(i)**(1/4),0.0330231836719826*sqrt(Abs(s)) ; Abs(i)**(1/4)
150,0.9025190921600722,B0 + B1*i**2 ; B2 - r,0.0560691436179149 - 0.2722843697213*i**2 ; 0.510861251973507 - r
151,0.9025188982328157,B0*sqrt(Abs(s)) ; 2*r,0.0327569752461589*sqrt(Abs(s)) ; 2*r
152,0.9024949144571678,B0 + B1*i*s ; i + r,-0.0382471457968285*i*s + 0.0210937975182107 ; i + r
153,0.9024443358228438,B0 + B1*i ; 2**(1/4)*Abs(i)**(1/4),0.000426216333047305*i + 0.0436453248298903 ; 2**(1/4)*Abs(i)**(1/4)
154,0.9024178821898615,B0 + B1*i ; Abs(B2 + i)**(1/4),0.000406848707086334*i + 0.0395614680843402 ; Abs(i + 1.68628820597122)**(1/4)
155,0.9023933512428159,B0*i + B1*s ; B2 + B3*r + i,0.768503512302402*i - 0.0295479335134886*s ; i + 0.0540642849934051*r - 0.0524270305846246
156,0.9023843913059812,B0 + B1*i ; Abs(i)**(1/4),0.000411460371328281*i + 0.0405041181732433 ; Abs(i)**(1/4)
157,0.9022825483037925,B0*i + B0*s ; B1 + B2*i - r,-0.0163167659712879*i - 0.0163167659712879*s ; -0.849367074111019*i - r + 0.920415116908718
158,0.90227563149543,B0*s*Abs(i)**(1/4) ; B1 + 3*r,0.0304766513936393*s*Abs(i)**(1/4) ; 3*r - 3.92248410410016e-10
159,0.9022734393557914,B0*sqrt(Abs(i)) ; B1*i + i*r,0.0850346491783788*sqrt(Abs(i)) ; i*r + 0.00510136640227421*i
160,0.901859946643237,B0*i*s ; B1 - i*r + r,0.0973695150619084*i*s ; -i*r + r - 0.00022804768214401
161,0.9016525556828504,B0*i ; B1*i*r + i,1.1320454787599*i ; 0.2920286568401*i*r + i
162,0.9016267908813737,B0*s*Abs(i)**(1/4) ; B1 + i*r + r,0.0311864244115916*s*Abs(i)**(1/4) ; i*r + r - 0.000116953413811932
163,0.9013351999414033,B0*i + B0*s ; B1 + i*r,0.0381076447249413*i + 0.0381076447249413*s ; i*r + 5.37034957463847e-6
164,0.9011236777205389,i*s + Abs(i)**(3/2) ; B0*i + B1*r,i*s + Abs(i)**(3/2) ; 1.16535089078691*i - 0.0853765658407684*r
165,0.9010781498195289,B0 + B1*sqrt(Abs(i)) ; B2 + B3*r,0.0404392198555671 - 0.00396578890387805*sqrt(Abs(i)) ; 0.333386627062487*r + 0.00257630890437473
166,0.9010685284034625,B0*i + B0*sqrt(Abs(i)) ; B1*i + B2*r,0.190653380866275*i + 0.190653380866275*sqrt(Abs(i)) ; 0.92636790268932*i + 0.465744066139784*r
167,0.9010202962817304,B0*s ; sqrt(Abs(B1 + i)),2.72189399863285*s ; sqrt(Abs(i + 93.814967716479))
168,0.9010202962814249,B0*s ; B1 + sqrt(Abs(i)),0.0431656204975708*s ; sqrt(Abs(i)) + 0.261936517141498
169,0.9010202962359517,B0*s ; -sqrt(Abs(B1 - r)),0.0431670170957163*s ; -sqrt(Abs(r - 0.00278320731846976))
170,0.9010202962091886,B0*s ; B1*sqrt(Abs(i)),0.0431635504007599*s ; 0.0166685810170963*sqrt(Abs(i))
171,0.9010202961429232,B0*s ; B1 - sqrt(Abs(i)),0.0431681536824151*s ; 15.4078602289434 - sqrt(Abs(i))
172,0.9010202959811796,B0*s ; sqrt(Abs(B1 - i)),0.0431615515828045*s ; sqrt(Abs(i - 0.000679044105015811))
173,0.9010202958752358,B0*s ; sqrt(Abs(B1 + r)),0.0431609111700207*s ; sqrt(Abs(r + 0.132451759597501))
174,0.9010202953435273,B0*s ; sqrt(Abs(B1 - r)),0.0431585382290785*s ; sqrt(Abs(r - 0.0231254829605451))
175,0.9010202952795157,B0*s ; B1 + sqrt(Abs(r)),0.0431726593652027*s ; sqrt(Abs(r)) + 47.3980208532019
176,0.901020293508286,B0*s ; B1 - sqrt(Abs(r)),0.0431774216240925*s ; 0.000826466936240024 - sqrt(Abs(r))
177,0.9010202822975029,B0*s ; B1*sqrt(Abs(r)),0.0431922934081175*s ; 0.10439470680433*sqrt(Abs(r))
178,0.9010202238258309,B0*s ; i + sqrt(Abs(r)),0.0432265192761687*s ; i + sqrt(Abs(r))
179,0.9010202212377205,B0*s ; r + sqrt(Abs(r)),0.0432276000981292*s ; r + sqrt(Abs(r))
180,0.9010202201050583,B0*s ; -r + sqrt(Abs(i)),0.043228067242529*s ; -r + sqrt(Abs(i))
181,0.9010202049343341,B0*s ; Abs(i)**(3/4)*sqrt(Abs(r)),0.0430969838828399*s ; Abs(i)**(3/4)*sqrt(Abs(r))
182,0.9010201979272534,B0*s ; -i + sqrt(Abs(i)),0.0430944059753196*s ; -i + sqrt(Abs(i))
183,0.9010201930799729,B0*s ; -r - sqrt(Abs(i)),0.043238330774213*s ; -r - sqrt(Abs(i))
184,0.9010201907471115,B0*s ; i + sqrt(Abs(i)),0.0432391497820767*s ; i + sqrt(Abs(i))
185,0.901020183893521,B0*s ; sqrt(Abs(i - r)),0.0432415049260185*s ; sqrt(Abs(i - r))
186,0.9010201746196483,B0*s ; sqrt(Abs(i + r)),0.0430864341954001*s ; sqrt(Abs(i + r))
187,0.9010201574866766,B0*s ; r*sqrt(Abs(i)),0.0432499682217748*s ; r*sqrt(Abs(i))
188,0.901020145260493,B0*s ; r - sqrt(Abs(r)),0.0432536120947417*s ; r - sqrt(Abs(r))
189,0.901020145260493,B0*s ; -i + sqrt(Abs(r)),0.0432536120947417*s ; -i + sqrt(Abs(r))
190,0.901020145260493,B0*s ; r + sqrt(Abs(i)),0.0432536120947417*s ; r + sqrt(Abs(i))
191,0.901020145260493,B0*s ; r - sqrt(Abs(i)),0.0432536120947417*s ; r - sqrt(Abs(i))
192,0.9007388717601276,B0*i*s ; B1 + r - sqrt(Abs(i)),0.000667280840248159*i*s ; r - sqrt(Abs(i)) + 0.121004241173765
193,0.9006589343565385,B0*i*s ; B1 - i - sqrt(Abs(i)),0.000664383867685616*i*s ; -i - sqrt(Abs(i)) + 0.136681055292949
194,0.9003422812250499,B0 + B1*i ; B2 - r,-0.0472450887878007*i - 0.0425834209141285 ; 2.03017465081024 - r
195,0.9000562191502426,B0*i*s ; B1*i**2 - i,0.00180079114856171*i*s ; 0.0188710836333088*i**2 - i
196,0.8998941303550396,B0 + B1*i ; B2 - 2*r,-0.0467568620514499*i - 0.129945401117114 ; 7.81686774389718 - 2*r
197,0.8995728694463294,B0*i*s ; B1 + 2*i - r,-0.0102660297543394*i*s ; 2*i - r + 0.916384362631327
198,0.8995484596651994,B0*sqrt(Abs(i))*sqrt(Abs(s)) ; B1*i + B2*r,0.115898029359292*sqrt(Abs(i))*sqrt(Abs(s)) ; 0.110006376042209*i + 0.00260684891947373*r
199,0.8990943524162439,B0*i*s ; B1 + B2*i + B2*r,0.00138020218401055*i*s ; -30.2159036200093*i - 30.2159036200093*r - 2.38654616710005
200,0.8988278271430195,B0 + B2*sqrt(Abs(B1 + s)) ; i,0.10746671871887 - 0.143124045099644*sqrt(Abs(s - 0.543593169017311)) ; i
201,0.8986465656355384,B0*i*s + B0*s ; B1 + B2*i,0.00134346709933493*i*s + 0.00134346709933493*s ; -0.148091851737607*i - 2.2793028755226
202,0.898623377607593,B0*i**3 ; B1 + B2*r,-0.146678658363146*i**3 ; 0.174030918755893 - 0.123486312406309*r
203,0.8985509467734559,B0*i*Abs(s)**(5/4) ; B1*sqrt(Abs(i)),0.252449293317684*i*Abs(s)**(5/4) ; -0.0170336670781935*sqrt(Abs(i))
204,0.8984715992627005,B0*i*Abs(s)**(5/4) ; r,0.30274903082945*i*Abs(s)**(5/4) ; r
205,0.8983697347407298,B0 + B1*i ; B2 - r + sqrt(Abs(i)),0.00243126208030471 - 0.0244833487005872*i ; -r + sqrt(Abs(i)) + 0.644734004044606
206,0.8983627812812319,B0 + B1*i*s ; r*sqrt(Abs(r + Abs(i)**(1/4))),0.234954204433592*i*s + 0.00470904472555858 ; r*sqrt(Abs(r + Abs(i)**(1/4)))
207,0.89834868084894,B0*s*Abs(i)**(1/4) ; B1 + i + r,0.0677662452986972*s*Abs(i)**(1/4) ; i + r - 0.0255891852403363
208,0.898207621132578,B0*s**2*sqrt(Abs(i)) ; B1*i,0.0453300133592287*s**2*sqrt(Abs(i)) ; -0.451684433370146*i
209,0.8980153629666386,B0 + B1*sqrt(Abs(i - s)) ; r,0.113338251467707 - 0.100456894942863*sqrt(Abs(i - s)) ; r
210,0.8979578158014925,B0*i*s + B0*s ; B1 - sqrt(Abs(r)),0.00153201157117217*i*s + 0.00153201157117217*s ; -sqrt(Abs(r)) - 0.831561840955201
211,0.8979182918324229,s*sqrt(Abs(B0*i + B1)) ; B2*r + i,s*sqrt(Abs(0.00680105782936212*i - 5.25330293613774e-5)) ; i + 0.999925827387497*r
