rank,reward,equations,equations_with_constants
1,3.4103982894722286e-44,B0 + B1*x**2 + x ; B2*y + B3*y**2 + B4*x*y ; B5*y + B6*y**2,5.70899782270986e-5*x**2 + x - 0.0673598954532322 ; 0.0991712866040208*x*y + 0.00138638123141824*y**2 - 0.0139759698063523*y ; 0.00217408469647341*y**2 + 1.46998128298519*y
357,0.0,B0 - x ; B1 + B2*x*y - x*y**2 - y ; B3 + B4*y,0.000100630966878211 - x ; -x*y**2 + 0.29870422844248*x*y - y + 29.6042878742166 ; 0.00351081150724641*y + 0.292030962590594
358,0.0,B0*x ; x ; B1*y - y**2,5.03535369646979*x ; x ; -y**2 + 20.0015958373172*y
359,0.0,B0 + x ; y ; B1*y**2,x - 2.94372348884633 ; y ; 0.0960343853288162*y**2
360,0.0,B0*x ; -x + y ; B1 + B2*y,-0.40889272112737*x ; -x + y ; 14.5799568160988*y - 90.8746286969579
361,0.0,B0 + x ; x ; B1*y,x + 0.254561879857442 ; x ; 1.39707861815386*y
362,0.0,B0 + 2*x ; y ; B1*y + B2*y**2 - y**3,2*x - 17.5441196568925 ; y ; -y**3 + 5.36977028237478*y**2 - 0.698719031386672*y
363,0.0,B0 + 2*x ; 2*y ; B1 + B2*y,2*x - 9.38988593013329 ; 2*y ; 2.0994118169267*y - 1.13749934211428
364,0.0,B0 + B1*x ; B2 + 3*y ; B3*y + 3*y**2,65.6025938482201 - 2.75838404815724*x ; 3*y + 6.62795521321618 ; 3*y**2 - 13.6198020311259*y
365,0.0,B0 - x ; 2*x**2*y + x*y**2 ; B1*y**2,3.74725497508863 - x ; 2*x**2*y + x*y**2 ; 67.2867397009673*y**2
366,0.0,B0 + B1*x ; 2*x**2 ; B2 + B3*y,26.3476349028655*x - 40.3609247942553 ; 2*x**2 ; 3.6093164472024*y + 215.459267426972
367,0.0,B0 - x ; x ; B1*y,31.1435747218931 - x ; x ; 1.53251197683887*y
368,0.0,B0 - x ; B1*x - x*y ; B2*y,-x - 17.8037275668848 ; -x*y + 7.47833457099922*x ; -3.46360209235186*y
369,0.0,B0 + 2*x ; B1*x + B2*x**2 + y ; B3*y + B4*y**2,2*x - 2.09040141743724 ; 0.137088133187595*x**2 - 0.938670953016082*x + y ; -0.230293409338712*y**2 + 5.12585464164534*y
370,0.0,B0 + x**2 - 2*x ; x ; B1 + B2*y,x**2 - 2*x + 453.257755696126 ; x ; 1.31231261334713*y + 86.6212171260179
371,0.0,B0 + x ; B1 - x*y - x - y ; B2*y + B3*y**2,x + 16.3659307977761 ; -x*y - x - y + 98.2836714306469 ; -5.22603727872771*y**2 + 24.4243407212661*y
372,0.0,B0 - x**2 - x ; y ; B1*y + 2*y**2,-x**2 - x - 5.31802764254059 ; y ; 2*y**2 - 12.5027485449327*y
373,0.0,B0 + B1*x ; B2*y + B3*y**2 + B4*x*y ; y**2,1.41428432413361*x + 72.7599468217998 ; 0.0706776829603567*x*y + 0.262258081769714*y**2 + 6.0878268038112*y ; y**2
374,0.0,B0 + B1*x ; y ; B2*y + 2*y**2,48.6576800670458*x + 4.01650513885657 ; y ; 2*y**2 - 12.472576059304*y
375,0.0,B0 + B1*x ; B2 - y ; B3 + B4*y,-3.6116879988245*x - 246.49493712989 ; -y - 292.445681819659 ; 12.2271359056017*y - 426.660705198464
376,0.0,B0 - x ; x ; B1*y + B2*y**2,31.1477264999163 - x ; x ; -0.0212702767509678*y**2 + 1.74776499260896*y
377,0.0,B0 - x ; B1 + B2*x - x**2 ; B3 + B4*y,0.0747801929984615 - x ; -x**2 + 0.877156766214453*x + 0.208819525009332 ; 0.000476821743546787*y + 0.000217652762180925
378,0.0,B0 + x**2 ; -x + y ; B1*y,x**2 - 127.82610794839 ; -x + y ; 15.1045402389145*y
379,0.0,B0 - x ; B1*x ; B2*y,32.3972199425062 - x ; 1.08080328180714*x ; 1.65727408395933*y
380,0.0,B0 - x ; x ; B1 + B2*y,31.1553888668073 - x ; x ; 1.23928754464176*y + 2.96037810645471
381,0.0,B0 - x ; x ; B1*y + 3*y**2,30.3010126976296 - x ; x ; 3*y**2 - 11.8880609100844*y
382,0.0,B0 - x ; B1*x + B2*y ; B3 + B4*y,64.18046415554 - x ; 0.780317031941666*x + 5.67168652665691*y ; 3.95014401469393*y + 22.8438650491837
383,0.0,B0 + x ; B1*x + B2*y ; B3 + B4*y + B5*y**3,x + 15.4166982566086 ; 1.10529097490703*x + 1.39125903699532*y ; 0.00298312126103764*y**3 + 0.265599753772717*y + 22.3521963209963
384,0.0,B0 + B1*x ; B2 + B3*y ; B4 + B5*y - y**2,95.6799739732781 - 3.25907828132855*x ; 108.167059923248 - 16.1823946839231*y ; -y**2 + 6.80668329353902*y + 51.1323605687123
385,0.0,B0 + x ; x**2 ; B1 + B2*y,x + 76.9518152052143 ; x**2 ; 5.33137380468331*y + 18.1432238807163
386,0.0,B0 - x ; B1 + B2*y ; B3 + B4*y,62.612070981739 - x ; 3.86139431066828*y + 8.34787463875578 ; 4.96919778927818*y - 2.88757832066195
387,0.0,B0 - x ; B1*y ; B2*y,15.1492734728126 - x ; -0.049851078434756*y ; -0.0817645490113249*y
388,0.0,B0 - x**2 - x ; B1*x**2 + B2*x*y ; B3*y - 3*y**2,-x**2 - x + 3.38253901499446 ; -0.264605143901927*x**2 - 0.150549947157539*x*y ; -3*y**2 - 3.92509813749006*y
389,0.0,B0 + x**2 ; B1*x**2*y - 3*x**2 ; B2 + B3*y**2 + B3*y,x**2 + 1.57302692033056 ; 0.000225638655687756*x**2*y - 3*x**2 ; 1.69269154992724*y**2 + 1.69269154992724*y + 0.000567240483381856
390,0.0,B0 + 3*x**2 ; x**2 ; B1*y + B2*y**2,3*x**2 + 0.690342375899932 ; x**2 ; 0.0164825016785529*y**2 + 0.00699067431410806*y
391,0.0,B0 - x ; x**2*y - x*y**2 - x*y ; B1*y - y**2,0.848886418654951 - x ; x**2*y - x*y**2 - x*y ; -y**2 + 0.00230669931447311*y
392,0.0,B0 + B1*x ; B2*x ; B3*y,38.6360458115224 - 1.68665901335925*x ; 0.796664051909269*x ; 1.21881703343298*y
393,0.0,B0 + 2*x**2 - x ; B1*y + x*y + y**2 ; B2*y + B3*y**2,2*x**2 - x + 0.325588127184578 ; x*y + y**2 + 0.809009545321286*y ; 0.0247422129038994*y**2 + 0.0161104710652022*y
394,0.0,B0 + x ; B1*y - y**2 ; B2*y,x + 7.27767901667396 ; -y**2 + 10.3950805738072*y ; 1.7238103716224*y
395,0.0,B0 - x ; B1*x*y + x**2*y ; B2 + B3*y,30.1887180112909 - x ; x**2*y + 3.94087744354901*x*y ; 0.000129895441353533*y + 0.00509273263795639
396,0.0,B0 - x ; B1*y + 2*x*y ; B2*y + y**2,60.7225404998182 - x ; 2*x*y - 23.7181795524943*y ; y**2 - 0.449926318427741*y
397,0.0,B0 + B1*x ; B2*x**3*y ; B3 + B4*y + B5*y**2,0.971554554803201*x + 0.100251828336362 ; -4.06021623497609e-5*x**3*y ; 2.25227809240923*y**2 - 1.85755712368448*y + 0.480224308628454
398,0.0,B0 + 2*x ; x*y ; B1*y - y**3 - 2*y**2,2*x - 421.606288500699 ; x*y ; -y**3 - 2*y**2 + 15.2011564853115*y
399,0.0,B0 + B1*x**2 + x ; B2 + B3*x ; B4 + B5*y**2 + B5*y,-0.0675922299692009*x**2 + x + 15.5430485836367 ; 2.2372132556501*x - 20.0988022067302 ; 0.0702418611112773*y**2 + 0.0702418611112773*y + 6.69703107456164
400,0.0,B0 + B1*x ; x**2 ; B2*y + B3*y**2,22.827440842619*x - 119.729012632015 ; x**2 ; 0.339095601582471*y**2 - 2.79848072039274*y
401,0.0,B0 - x ; x*y ; B1*y + y**2,122.17244558516 - x ; x*y ; y**2 + 7.83813280365455*y
402,0.0,B0 - x ; B1*x**2 - x*y ; B2*y,13.1924343635342 - x ; 0.0580838515876336*x**2 - x*y ; -0.765667135874441*y
403,0.0,B0 - x ; B1*x + 2*x**2 ; B2 + B3*y,-x - 41.3799132366951 ; 2*x**2 - 16.8069238783158*x ; -1.77485884040285*y - 3.52838091358116
404,0.0,B0 + B1*x + x**2 ; x*y ; B2*y + y**2,x**2 - 1.31847911541025*x + 7.17413079311651 ; x*y ; y**2 + 0.380605925522067*y
405,0.0,B0 + B1*x**3 ; x**2 ; B2*y,15.2065988803295 - 0.0265703535112084*x**3 ; x**2 ; 58.4433586304385*y
406,0.0,B0 + B1*x ; x**2 ; B2 + B3*y**2,16.9944582959354*x - 27.9301704034694 ; x**2 ; 0.206649895110156*y**2 + 208.118146272631
407,0.0,B0 + B1*x ; x*y ; B2*y + y**2,15.1058296835939*x - 79.6707508242144 ; x*y ; y**2 + 5.56611039768078*y
408,0.0,B0 - x**2 + x ; B1*x ; B2*y + B3*y**3 - y**4,-x**2 + x - 127.385027492113 ; -22.7262470049663*x ; -y**4 + 0.01493613592129*y**3 + 0.0466984691792058*y
409,0.0,B0 - x**2 + x ; B1*x + 2*x**2 ; B2*y**2,-x**2 + x + 3.208033759693 ; 2*x**2 + 0.00189792102380039*x ; 0.599497710607536*y**2
410,0.0,B0 + x**2 ; x**2 ; B1*y,x**2 + 0.294878267730743 ; x**2 ; 13.8764881737941*y
411,0.0,B0 - x ; x**2*y ; y**3 - 2*y**2,0.256940558524203 - x ; x**2*y ; y**3 - 2*y**2
412,0.0,B0 + x**2 - x ; x*y ; B1*y**2,x**2 - x - 0.787602412315394 ; x*y ; 0.675692414101783*y**2
413,0.0,B0 + x ; B1*x ; B2*y,x + 33.0757660132696 ; 3.12346732411963*x ; 4.8332345507317*y
414,0.0,B0 + B1*x - x**2 ; B2*x**3 - 2*x**2 ; B3 + B4*y,-x**2 + 1.32867440264123*x + 0.192090331020202 ; 0.173769046818227*x**3 - 2*x**2 ; 8.12037139985659*y - 0.301285771176999
415,0.0,B0 - x**2 + x ; x*y ; B1 + B2*y,-x**2 + x + 21.5356050714645 ; x*y ; 95.3510907459582*y + 447.983076187502
416,0.0,B0 - x ; x*y ; B1*y + B2*y**2,115.984844456665 - x ; x*y ; 1.13315501783054*y**2 + 5.40761781477651*y
417,0.0,B0 + B1*x ; x*y ; B2 + B3*y,9.94528504746464*x + 6.61163750705576 ; x*y ; 17.1305486352337*y - 19.2289547328889
418,0.0,B0 - x ; B1*x*y + x**2*y - x*y**2 ; B2*y**2 + B3*y**3,0.394801858872498 - x ; x**2*y - x*y**2 + 0.000745928966891973*x*y ; 0.0251832882946363*y**3 + 21.0896900272648*y**2
419,0.0,B0 - 2*x ; x**2 ; B1*y + B2*y**3 + y**4,65.5684961166594 - 2*x ; x**2 ; y**4 + 54.2524490432904*y**3 + 14.5525054186192*y
420,0.0,B0 - x**2 ; B1*x ; B2 + B3*y,-x**2 - 150.485889877716 ; -25.2153313182104*x ; 14.1736033574152*y - 178.680369365016
421,0.0,B0 + B1*x ; B2*x - x**2 ; B3 + B4*y + B5*y**3,18.6415465480408*x - 44.5008432605335 ; -x**2 + 33.5900330143721*x ; 0.196621344098101*y**3 + 1.32710927920318*y + 99.9627777504073
422,0.0,B0 - x ; x**2 ; B1 + B2*y,63.297463929885 - x ; x**2 ; 16.3383599501345*y + 1.57495028546117
423,0.0,B0 - x ; x*y ; B1*y,164.733473397527 - x ; x*y ; 15.3460824281227*y
424,0.0,B0 + B1*x ; B2*x ; B3*y**2 - y**3,68.9364792863359 - 2.21860620962586*x ; 2.22421586001813*x ; -y**3 + 4.32079181821648*y**2
425,0.0,B0 - 2*x ; x**3 - x**2*y + x*y ; B1*y,0.0475685364170203 - 2*x ; x**3 - x**2*y + x*y ; 0.00018836166631593*y
426,0.0,B0 + B1*x ; B2*x + B3*x**3 ; B4*y + B5*y**2,1.0789759421224 - 1.91746182360441*x ; 0.0119032635327305*x**3 - 4.72558129209502*x ; 0.761601754391824*y**2 - 10.6245169317875*y
427,0.0,B0 + B1*x**2 ; B2*x + B3*x**2 ; B4*y + B5*y**2,0.203344601632554*x**2 + 2.77320117582863 ; 0.362702247030774*x**2 - 2.30424609607768*x ; -0.308470266232766*y**2 + 8.25804344876055*y
428,0.0,B0 + B1*x - x**2 ; B2*x + x*y ; B3*y**2,-x**2 + 1.44645689140629*x + 86.3220261892847 ; x*y - 1.26300611631704*x ; 0.404316163285357*y**2
429,0.0,B0 - x ; B1*x - x*y ; B2*y + B3*y**2 - y**3,66.5315162329131 - x ; -x*y + 6.20137377191956*x ; -y**3 - 0.244143251694746*y**2 + 29.4247003972269*y
430,0.0,B0 - x ; x**2 ; B1*y + B2*y**3 + y**2,46.0278879401724 - x ; x**2 ; 4.37694215602181*y**3 + y**2 + 0.0210084929855211*y
431,0.0,B0 - x**2 - x ; B1*x ; B2*y + y**3 - y**2,-x**2 - x - 126.589329503047 ; -24.6867571186684*x ; y**3 - y**2 + 0.00676668778989161*y
432,0.0,B0 + x ; x**2 ; B1*y + B2*y**2,x + 77.9965164551503 ; x**2 ; -0.0208927946661401*y**2 + 6.93143708581598*y
433,0.0,B0 + B1*x - x**2 ; B2*x ; B3*y,-x**2 + 23.9036122577092*x - 118.998530800452 ; 0.708256875442363*x ; 1.08229807711161*y
434,0.0,B0 - x ; B1*x ; B2*y + B3*y**2,34.7578202675341 - x ; 1.23377437422156*x ; -0.0593811192246679*y**2 + 2.49279156467273*y
435,0.0,B0 - 2*x ; B1*x ; B2 + B3*y,94.6990605276744 - 2*x ; 4.08918877564277*x ; 1.23315167527533*y + 51.0292551704003
436,0.0,B0 + x ; B1*x ; B2*y + y**2,x + 21.7678886636632 ; 2.40113502348576*x ; y**2 - 6.26555301722671*y
437,0.0,B0 - x**3 ; B1*x ; B2*y**3 + y**4 - y**2,26.3986827822771 - x**3 ; 2.72648580223104*x ; y**4 + 1.12735015529403*y**3 - y**2
438,0.0,B0 - x ; B1*x ; B2 + B3*y,77.4630490653976 - x ; 3.97941324389298*x ; 1.29262469848648*y + 48.7296057345634
439,0.0,B0 - x ; B1*x ; B2*y + 2*y**2,10.3776270303912 - x ; -0.337711254628903*x ; 2*y**2 - 14.934943998783*y
440,0.0,B0 + B1*x ; B2*x ; B3*y + B4*y**2,17.2011848656671 - 3.2717607301258*x ; -2.16116018316982*x ; 0.340907234117323*y**2 - 6.75573638124371*y
441,0.0,B0 + B1*x ; B2*x ; B3 + B4*y,59.5445659635877 - 11.0946407383318*x ; -7.26454358705069*x ; 13.9623600275908*y + 99.2592384537868
442,0.0,B0 - x ; B1*x ; B2 + B3*y + B4*y**2,65.247502261299 - x ; 3.198668070596*x ; 0.794454080289369*y**2 - 10.5524491891193*y + 74.2431634422051
443,0.0,B0 - x ; B1*x ; B2*y - y**2,74.3738748931196 - x ; 3.82761403605337*x ; -y**2 + 15.356678339474*y
444,0.0,B0 - x**2 ; B1*x ; B2*y,-x**2 - 12.2070048465632 ; -15.1677144544605*x ; 15.0926341889372*y
445,0.0,B0 - x**2 ; B1*x ; B2*y**2,17.8365760553219 - x**2 ; -0.096014091696233*x ; 0.0483590094886789*y**2
446,0.0,B0 - x ; B1*x ; B2 + B3*y**3,56.3414990857612 - x ; 2.61969792562956*x ; 0.00576626790452161*y**3 + 34.6310627953702
447,0.0,B0 - 2*x ; B1*x ; B2 + B3*y + B4*y**2,5.13028552847805 - 2*x ; -1.64850038816696*x ; 0.210280049937676*y**2 - 4.4033173144952*y - 0.948720605765651
448,0.0,B0 - 2*x ; B1*x ; B2*y,43.6854822313051 - 2*x ; 0.806996632315253*x ; 1.23547323808289*y
449,0.0,B0 + x ; B1*x ; B2 + B3*y**2,x + 53.9821195669505 ; 4.46901639552168*x ; 0.0902166561789007*y**2 + 60.1131137560921
450,0.0,B0 - 2*x**2 ; B1*x ; B2*y,43.887600361668 - 2*x**2 ; 0.0541410397261141*x ; -0.0124440448778533*y
451,0.0,B0 - x ; B1*x ; B2 + B3*y**2,71.0878049263407 - x ; 3.56914107449898*x ; 0.0744749588425933*y**2 + 47.7672068339319
452,0.0,B0 - x**2 ; B1*x ; B2*y + B3*y**2,-x**2 - 138.280920036202 ; -24.2685306518526*x ; -0.166679118709869*y**2 + 7.2545927610017*y
453,0.0,B0 + B1*x - x**2 ; B2*x ; B3 + B4*y,-x**2 + 29.1968964809843*x - 147.333743554547 ; 4.16926009637666*x ; 1.73078542258927*y + 47.1777948641241
454,0.0,B0 + x ; B1*x ; B2 + B3*y,x + 53.3846776233495 ; 4.43012145802428*x ; 1.50297588630827*y + 53.6089593048931
455,0.0,B0 - x**2 - x ; B1*x ; B2*y + B3*y**2,-x**2 - x - 128.156394259066 ; -24.7889179515316*x ; -6.84244910599703*y**2 - 1.12579956931293*y
456,0.0,B0 + B1*x - x**2 ; B2*x ; B3*y + B4*y**2,-x**2 + 241.460650662975*x + 9.12352723746864 ; 229.754300577507*x ; 0.246298229042292*y**2 + 43.5062477169219*y
457,0.0,B0 + x ; B1*x ; B2*y + B3*y**2,x + 35.073878353591 ; 3.25300525604532*x ; -0.358374730482726*y**2 + 8.62715112044529*y
458,0.0,B0 - x**3 ; B1*x ; B2 + B3*y,-x**3 - 419.535419625462 ; 0.0696591371294435*x ; 1.01719096906287*y - 11.0671605788979
459,0.0,B0 + B1*x ; x ; B2 + y,56.1108610712315 - 2.60658233653854*x ; x ; y + 5.36860621216957
460,0.0,-x ; x ; y,-x ; x ; y
461,0.0,x ; x ; B0 + y**3,x ; x ; y**3 + 0.000216791198382137
462,0.0,B0 + x**2 ; x ; B1 + B2*y,x**2 + 323.549964613135 ; x ; 1.34851804589134*y + 86.2363934120397
463,0.0,B0 - x ; x ; y,25.8673604664644 - x ; x ; y
464,0.0,B0 + B1*x + B2*x**2 ; x ; y,-0.229419843389502*x**2 + 3.37527769727429*x + 7.63567276448654 ; x ; y
465,0.0,x ; x ; y,x ; x ; y
466,0.0,B0*x ; x ; B1 + 3*y,1.02036784700248*x ; x ; 3*y - 16.2919103247876
467,0.0,x ; x ; B0 + B1*y,x ; x ; 0.966396229435859*y + 0.17995282128491
468,0.0,B0 + 2*x ; x ; B1*y + B2*y**2,2*x - 9.99996117548013 ; x ; 0.857165971901719*y**2 - 6.20913922556767*y
