rank,reward,equations,equations_with_constants
1,3.4103982894722286e-44,B0 + B1*x**2 + x ; B2*y + B3*y**2 + B4*x*y ; B5*y + B6*y**2,5.70899782270986e-5*x**2 + x - 0.0673598954532322 ; 0.0991712866040208*x*y + 0.00138638123141824*y**2 - 0.0139759698063523*y ; 0.00217408469647341*y**2 + 1.46998128298519*y
98,0.0,B0 + B1*x**2 + x**3 ; B2*y ; y,x**3 + 0.00239143779214549*x**2 + 31.3238667543395 ; 1.03190844600468*y ; y
99,0.0,B0 + 2*x ; B1*y + B2*y**2 ; 2*y,2*x + 3.95746084429956 ; -0.692705379111333*y**2 + 8.90539283479465*y ; 2*y
100,0.0,B0 + B1*x ; B2*y ; B3*y + B4*y**2,38.5186934878661 - 0.889814524117132*x ; 2.44502047726914*y ; 0.122390848309275*y**2 + 1.1908644992839*y
101,0.0,B0*x**2 + x ; 2*x*y ; B1*y + B2*y**2,0.0498104775545696*x**2 + x ; 2*x*y ; 0.97134647982121*y**2 + 18.8828637825813*y
102,0.0,B0 + B1*x**2 + B2*x**3 + x ; 2*x*y ; B3 + B4*y,0.0444639816970686*x**3 - 0.440059334927051*x**2 + x + 0.421126287612581 ; 2*x*y ; 16.6854341558742*y - 3.54032409011101
103,0.0,B0*x ; B1*y + 2*x*y ; B2 + 2*y,4.10701776901435*x ; 2*x*y - 7.05585146182286*y ; 2*y - 0.609607763496154
104,0.0,B0 + 3*x ; B1*y ; 2*y,3*x - 19.7283342541619 ; 2.03224944228903*y ; 2*y
105,0.0,B0 + B1*x ; B2*y + 2*y**2 ; B3 + B4*y + y**2,1.37379111262905*x - 0.553055497540728 ; 2*y**2 - 7.8766585030714*y ; y**2 + 5.88461413775375*y - 44.8043605051147
106,0.0,B0 + x ; B1*y ; 2*y,x - 0.358770058400008 ; 1.97549590652455*y ; 2*y
107,0.0,B0 - 2*x ; B1*y + 2*y**2 ; B2*y,17.9678308525568 - 2*x ; 2*y**2 + 10.1608266871053*y ; 0.00940866059367841*y
108,0.0,B0*x**2 + B1*x**3 + x ; B2*y + 2*x*y ; B3 + 2*y,-0.0444177163711274*x**3 + 0.717438545412158*x**2 + x ; 2*x*y - 13.0358320604597*y ; 2*y + 4.20778855486849
109,0.0,B0 + B1*x - x**2 ; 2*x*y ; B2 + B3*y,-x**2 + 20.9960174800753*x + 16.5376490702216 ; 2*x*y ; 19.4347234353244*y + 21.3136705668986
110,0.0,B0 + B1*x**2 ; 2*y**2 ; B2*y,-2.17637447109768*x**2 - 0.0399037650449503 ; 2*y**2 ; 20.0015835310843*y
111,0.0,B0*x ; B1*y ; B2*y**2 + y,-0.0100661951310405*x ; -0.19089046766445*y ; -0.238177535405144*y**2 + y
112,0.0,B0*x ; B1*y ; B2 + 2*y,-7.4241400341354*x ; -11.29654668958*y ; 2*y - 133.252136095172
113,0.0,B0 + x ; B1*y + 2*x*y - 2*y**2 ; B2 + B3*y,x + 2.91531435454994 ; 2*x*y - 2*y**2 - 4.24096713026158*y ; 21.5289387704831*y + 0.327888955856365
114,0.0,B0*x ; B1*y**2 ; 2*y,0.00139536060944931*x ; -1.52837867745516*y**2 ; 2*y
115,0.0,B0*x - x**2 ; 2*x*y ; B1 + y,-x**2 + 7.92316402801828*x ; 2*x*y ; y - 11.5962666464214
116,0.0,B0 + x ; B1*y ; B2 + B3*y,x + 6.93386703029203 ; 2.4502460943368*y ; 3.56047795802235*y - 9.58399865112106
117,0.0,B0 + B1*x ; 2*y**4 ; B2*y + B3*y**2,0.000423984756597648*x + 0.0270249789583018 ; 2*y**4 ; 7.43331036889138*y**2 + 3.14057483886926*y
118,0.0,B0 - 2*x**2 + 2*x ; 2*y**2 ; B1*y + B2*y**2,-2*x**2 + 2*x + 0.0259877373352012 ; 2*y**2 ; 2.08506819604735*y**2 + 16.3380394855818*y
119,0.0,B0 + 2*x ; B1*x*y ; B2*y + B3*y**2,2*x - 11.9274853639477 ; 0.11519188566564*x*y ; 0.0767661396956695*y**2 + 1.04802281508866*y
120,0.0,B0*x**2 - x**3 + x ; 2*x*y + 2*y**2 ; B1 - y,-x**3 + 2.82941961805389*x**2 + x ; 2*x*y + 2*y**2 ; 0.00631101322436124 - y
121,0.0,B0 + x ; B1*y ; B2*y,x - 10.6049825482732 ; -1.05167787485595*y ; 6.64012553350663*y
122,0.0,2*x ; 2*x*y ; B0 + B1*y,2*x ; 2*x*y ; 14.6920566206863*y + 0.013442690977464
123,0.0,B0 + x ; 2*x*y ; B1 + y,x + 10.8496785701862 ; 2*x*y ; y + 5.3112089871776
124,0.0,B0 + 2*x ; 2*y**2 ; B1*y,2*x + 22.9963394276512 ; 2*y**2 ; 10.000202943439*y
125,0.0,B0 + B1*x**2 ; 2*y**2 ; B2 + y,3.65240149905089*x**2 + 0.134938005997616 ; 2*y**2 ; y + 0.173623782575014
126,0.0,B0*x - 2*x**2 ; B1*y ; B2 + y,-2*x**2 + 19.2166957085219*x ; -0.101529676550565*y ; y - 10.0893565398139
127,0.0,2*x ; 2*x*y ; B0 + 2*y,2*x ; 2*x*y ; 2*y + 0.0305511534919725
128,0.0,B0 + x ; 2*y**2 ; B1 + y,x + 29.0172542442355 ; 2*y**2 ; y + 45.1783347042568
129,0.0,B0 + x ; B1*y ; y,x - 4.65749907340514 ; 1.03311586962635*y ; y
130,0.0,B0 + x ; 2*y**3 + 2*y**2 ; B1 + y,x + 2.77832266356676 ; 2*y**3 + 2*y**2 ; y + 74.8526624795627
131,0.0,B0 + B1*x ; B2*y + 2*y**2 ; 2*y,10.9244394470554*x + 0.0401619044236369 ; 2*y**2 + 5.1494682580179*y ; 2*y
132,0.0,B0 + B1*x ; B2*y**2 ; 2*y,0.321210061754302*x - 4.79399600270124 ; -1.52819976402629*y**2 ; 2*y
133,0.0,B0 + B1*x ; 2*y**2 ; 2*y,51.481479324647*x - 0.024742888438248 ; 2*y**2 ; 2*y
134,0.0,2*x ; 2*x*y ; B0 + B1*y**2,2*x ; 2*x*y ; 0.409850492964333*y**2 + 0.0540163175096115
135,0.0,B0 + x ; -2*x*y ; B1 + y,x + 44.2286275309898 ; -2*x*y ; y + 0.00309902480658337
136,0.0,2*x ; 2*y**2 ; B0 + y,2*x ; 2*y**2 ; y + 45.0421007556566
137,0.0,B0*x**2 ; B1*y ; B2 + y,-0.146005062288199*x**2 ; -3.53669306045237*y ; y - 45.3426620987682
138,0.0,2*x ; B0*y**2 + 2*x*y**2 ; B1 + 2*y,2*x ; 2*x*y**2 - 0.0453564117291518*y**2 ; 2*y + 8.26585325165708
139,0.0,B0 + 2*x ; 2*x*y ; B1 + y,2*x + 13.4076389077741 ; 2*x*y ; y + 15.9634162955769
140,0.0,B0 + 2*x ; 2*y**2 ; B1 + 2*y,2*x + 30.6503127497068 ; 2*y**2 ; 2*y + 67.7026911918794
141,0.0,B0 + x ; 2*x*y ; B1 + B2*y,x + 76.1347588171275 ; 2*x*y ; 24.4823282458467*y + 9.35167597077281
142,0.0,x**2 ; B0*x*y ; B1 + B2*y,x**2 ; 0.0880693598656665*x*y ; 10.1006136207472*y - 13.177247250739
143,0.0,-x**2 + 2*x ; 2*x*y ; B0 + y,-x**2 + 2*x ; 2*x*y ; y + 0.26735211295907
144,0.0,B0 + 2*x ; 2*y**2 ; B1 + B2*y,2*x + 11.180020929686 ; 2*y**2 ; 4.36633377356208*y + 46.4432477574734
145,0.0,2*x ; B0*y ; B1 + B2*y**2,2*x ; 2.90219264242549*y ; 0.230948335432911*y**2 + 4.71213994098977
146,0.0,B0 + 3*x ; 2*x*y + 4*y**2 ; B1 + y**2,3*x + 8.18124005426924 ; 2*x*y + 4*y**2 ; y**2 + 0.00740597181875095
147,0.0,B0 + x ; B1*y + 2*y**2 ; B2 + y,x + 27.6201185242921 ; 2*y**2 - 0.210255507980717*y ; y + 44.8195738190943
148,0.0,2*x**2 ; 2*x*y**2 ; B0 + B1*y**2,2*x**2 ; 2*x*y**2 ; 0.044721303003972*y**2 - 0.00858877662288355
149,0.0,B0 + 2*x ; B1*y + 4*x*y ; B2*y,2*x + 7.27510987949429 ; 4*x*y + 0.000511521935630229*y ; 0.00156727315299334*y
150,0.0,B0 + B1*x ; 2*x*y ; B2 + y,40.4369514003668 - 2.86988617811031*x ; 2*x*y ; y + 21.9271890483677
151,0.0,B0 + x ; B1*y ; B2 + y,x - 5.18235805951212 ; 0.811226118065412*y ; y - 2.0597910369253
152,0.0,B0 + B1*x ; B2*y + 2*y**2 ; B3 + y**2 + y,2.37928479153765 - 0.816122686506239*x ; 2*y**2 - 20.9481553935723*y ; y**2 + y - 119.430312311086
153,0.0,B0 + 3*x ; 2*x*y ; B1*y + B2*y**2,3*x + 50.5061394250846 ; 2*x*y ; 1.13613756567688*y**2 + 15.6212548131541*y
154,0.0,B0 + 2*x ; B1*x**2*y ; B2*y**2 + y,2*x - 0.562269908836893 ; 0.0127106310888941*x**2*y ; 0.207194508249248*y**2 + y
155,0.0,B0 + B1*x ; B2*y**2 ; B3 + y,53.7075108305342 - 3.37729911518101*x ; 0.01184541420391*y**2 ; y - 8.96501358246863
156,0.0,B0*x - x**2 ; B1*x*y**2 ; B2 + B3*y + y**2,-x**2 + 14.2315231367343*x ; -0.0111332554505683*x*y**2 ; y**2 - 13.3313282246843*y + 8.86000155532364
157,0.0,B0 + B1*x ; 2*x**2*y ; B2*y**3 + B2*y**2 + y,3.47086784766628*x + 3.77397403957131 ; 2*x**2*y ; 12.870032268194*y**3 + 12.870032268194*y**2 + y
158,0.0,B0 + 2*x ; B1*x*y**2 ; B2 + B3*y,2*x - 5.4221549228278 ; 0.0601962770900171*x*y**2 ; 0.981334490350835 - 0.580824848394776*y
159,0.0,B0 + 3*x ; B1*y**2 + 2*x*y**2 ; B2 + 2*y,3*x + 8.79240026109393 ; 2*x*y**2 - 0.0509416131915105*y**2 ; 2*y - 8.67367849828159
160,0.0,B0 + B1*x ; 2*x*y**2 ; B2*y,0.00842846134983435*x + 402.201544241635 ; 2*x*y**2 ; 0.00581992810738797*y
161,0.0,B0*x ; 2*x**2*y ; B1 + y,0.352312511840737*x ; 2*x**2*y ; y + 0.00417808801256605
162,0.0,B0 + 3*x ; 2*x*y**2 ; B1 + B2*y,3*x + 379.314178058323 ; 2*x*y**2 ; 0.305586942655945*y + 295.634289690837
163,0.0,B0 + 2*x ; B1*y**2 ; B2 + y,2*x - 31.7760562245232 ; -0.756010774112511*y**2 ; y - 13.5345422410039
164,0.0,B0 + x ; B1*y**2 ; B2 + y,x - 16.6273384817492 ; -0.344795480474565*y**2 ; y - 10.3858938988718
165,0.0,B0 + x ; B1*y**2 + B2*x*y ; B3 + B4*y,x + 12.4247397381755 ; 0.220495346230615*x*y - 0.0646257985790793*y**2 ; 4.83120322487851*y - 20.5475979980085
166,0.0,B0 + 3*x ; B1*x*y + 2*x*y**2 ; B2 + y,3*x + 38.0400436972821 ; 2*x*y**2 + 0.049103383831897*x*y ; y + 8.06710085369177
167,0.0,B0 + 2*x ; 2*x*y**2 ; B1 + y,2*x + 390.502150361556 ; 2*x*y**2 ; y + 305.72887951005
168,0.0,B0 + x ; B1*y ; B2 + 2*y,x + 63.9811921918945 ; -13.7356188636363*y ; 2*y + 95.7489908780184
169,0.0,x ; B0*y ; B1 + y,x ; -16.6411713473431*y ; y + 14.9370504918045
170,0.0,B0 + B1*x ; 2*x**2*y ; B2 + 2*y**2,0.00809256484660338*x + 31.1352275828806 ; 2*x**2*y ; 2*y**2 + 1.27696613739538
